# wavelength(um)    fp/fs
0.107867     1.65542000e-03
0.107903     6.84722000e-04
0.107938     7.08288000e-04
0.107974     6.86292000e-04
0.108010     7.97161000e-04
0.108046     9.90040000e-04
0.108082     1.11128000e-03
0.108118     6.81795000e-04
0.108155     6.95310000e-04
0.108191     1.60364000e-03
0.108227     1.36583000e-03
0.108263     6.90803000e-04
0.108299     6.82267000e-04
0.108335     2.21472000e-03
0.108371     8.36897000e-03
0.108407     1.56148000e-03
0.108443     7.13172000e-04
0.108479     1.53254000e-03
0.108516     7.19359000e-04
0.108552     7.83700000e-04
0.108588     6.83109000e-04
0.108624     6.83943000e-04
0.108660     1.00986000e-03
0.108697     2.15210000e-03
0.108733     1.15734000e-03
0.108769     7.01981000e-04
0.108805     7.94988000e-04
0.108842     2.41146000e-03
0.108878     1.66820000e-02
0.108914     1.97120000e-03
0.108950     3.39975000e-03
0.108987     6.98253000e-04
0.109023     6.87147000e-04
0.109059     2.09050000e-03
0.109096     1.37467000e-02
0.109132     7.43885000e-04
0.109169     7.39510000e-04
0.109205     8.94934000e-04
0.109241     7.22746000e-04
0.109278     9.35393000e-04
0.109314     7.38079000e-04
0.109351     1.11626000e-03
0.109387     6.99713000e-04
0.109424     8.72396000e-04
0.109460     1.13099000e-03
0.109496     6.93007000e-04
0.109533     6.12798000e-03
0.109569     7.43743000e-04
0.109606     6.16324000e-03
0.109643     1.11352000e-03
0.109679     1.92991000e-02
0.109716     9.65494000e-04
0.109752     7.29038000e-04
0.109789     1.92855000e-03
0.109825     3.52834000e-03
0.109862     2.91775000e-03
0.109899     4.63420000e-03
0.109935     8.75808000e-04
0.109972     9.07645000e-04
0.110009     1.08447000e-03
0.110045     1.16858000e-03
0.110082     6.89968000e-04
0.110119     7.00775000e-04
0.110155     2.50902000e-03
0.110192     6.78597000e-04
0.110229     6.79366000e-04
0.110266     6.74144000e-04
0.110302     6.82778000e-04
0.110339     5.96264000e-04
0.110376     6.85222000e-04
0.110413     6.90629000e-04
0.110449     6.01385000e-04
0.110486     6.75651000e-04
0.110523     6.57416000e-04
0.110560     6.74484000e-04
0.110597     6.77459000e-04
0.110634     6.17904000e-04
0.110670     1.47790000e-03
0.110707     7.74042000e-04
0.110744     7.21561000e-04
0.110781     6.79997000e-04
0.110818     1.03054000e-03
0.110855     3.44764000e-03
0.110892     6.72391000e-04
0.110929     6.82764000e-04
0.110966     6.85009000e-04
0.111003     6.47308000e-04
0.111040     6.14895000e-04
0.111077     6.81969000e-04
0.111114     6.87065000e-04
0.111151     6.96903000e-04
0.111188     6.76797000e-04
0.111225     6.45617000e-04
0.111262     6.73686000e-04
0.111299     6.64001000e-04
0.111336     6.70263000e-04
0.111374     6.81929000e-04
0.111411     6.83437000e-04
0.111448     6.78458000e-04
0.111485     6.73134000e-04
0.111522     6.84595000e-04
0.111559     5.25479000e-04
0.111596     6.53241000e-04
0.111634     6.52690000e-04
0.111671     6.30129000e-04
0.111708     6.66724000e-04
0.111745     7.01887000e-04
0.111783     6.26415000e-04
0.111820     6.70151000e-04
0.111857     6.41849000e-04
0.111894     6.41217000e-04
0.111932     6.57713000e-04
0.111969     6.70135000e-04
0.112006     6.30778000e-04
0.112044     6.22041000e-04
0.112081     8.91118000e-04
0.112118     6.80596000e-04
0.112156     5.79050000e-04
0.112193     1.07312000e-03
0.112231     6.74481000e-04
0.112268     8.02749000e-04
0.112305     6.42928000e-04
0.112343     6.73397000e-04
0.112380     6.64559000e-04
0.112418     6.01122000e-04
0.112455     6.32885000e-04
0.112493     6.73798000e-04
0.112530     5.89139000e-04
0.112568     6.54689000e-04
0.112605     6.46546000e-04
0.112643     2.21718000e-03
0.112680     6.82573000e-04
0.112718     6.52178000e-04
0.112755     5.58884000e-04
0.112793     6.40716000e-04
0.112831     6.72074000e-04
0.112868     6.66658000e-04
0.112906     6.64392000e-04
0.112943     6.85954000e-04
0.112981     7.80298000e-04
0.113019     6.54031000e-04
0.113056     3.04644000e-03
0.113094     6.53001000e-04
0.113132     5.74335000e-04
0.113170     6.26073000e-04
0.113207     6.51387000e-04
0.113245     6.29139000e-04
0.113283     6.14423000e-04
0.113320     6.48033000e-04
0.113358     6.29869000e-04
0.113396     7.86757000e-04
0.113434     6.28020000e-04
0.113472     6.43346000e-04
0.113509     5.96961000e-04
0.113547     6.43201000e-04
0.113585     1.22231000e-03
0.113623     6.76278000e-04
0.113661     6.64161000e-04
0.113699     5.78547000e-04
0.113737     6.14852000e-04
0.113775     6.17491000e-04
0.113813     5.30546000e-04
0.113850     6.61710000e-04
