# wavelength(um)    fp/fs
0.107867     1.67429000e-03
0.107903     6.86105000e-04
0.107938     7.11105000e-04
0.107974     6.87943000e-04
0.108010     8.01463000e-04
0.108046     9.99686000e-04
0.108082     1.12042000e-03
0.108118     6.82839000e-04
0.108155     6.97093000e-04
0.108191     1.61902000e-03
0.108227     1.37796000e-03
0.108263     6.92760000e-04
0.108299     6.83422000e-04
0.108335     2.23766000e-03
0.108371     8.41879000e-03
0.108407     1.58020000e-03
0.108443     7.14155000e-04
0.108479     1.55003000e-03
0.108516     7.20627000e-04
0.108552     7.86263000e-04
0.108588     6.83555000e-04
0.108624     6.84357000e-04
0.108660     1.01814000e-03
0.108697     2.17570000e-03
0.108733     1.17080000e-03
0.108769     7.03845000e-04
0.108805     8.00190000e-04
0.108842     2.43656000e-03
0.108878     1.67454000e-02
0.108914     1.99553000e-03
0.108950     3.43087000e-03
0.108987     6.99475000e-04
0.109023     6.88368000e-04
0.109059     2.11428000e-03
0.109096     1.38103000e-02
0.109132     7.46758000e-04
0.109169     7.43163000e-04
0.109205     9.01176000e-04
0.109241     7.26600000e-04
0.109278     9.42596000e-04
0.109314     7.40022000e-04
0.109351     1.12952000e-03
0.109387     7.01146000e-04
0.109424     8.77570000e-04
0.109460     1.14407000e-03
0.109496     6.94090000e-04
0.109533     6.16787000e-03
0.109569     7.46012000e-04
0.109606     6.20900000e-03
0.109643     1.12260000e-03
0.109679     1.93854000e-02
0.109716     9.74540000e-04
0.109752     7.31320000e-04
0.109789     1.94936000e-03
0.109825     3.56355000e-03
0.109862     2.94712000e-03
0.109899     4.67648000e-03
0.109935     8.81475000e-04
0.109972     9.12770000e-04
0.110009     1.09443000e-03
0.110045     1.17992000e-03
0.110082     6.91707000e-04
0.110119     7.02973000e-04
0.110155     2.53168000e-03
0.110192     6.81102000e-04
0.110229     6.79637000e-04
0.110266     6.73758000e-04
0.110302     6.83179000e-04
0.110339     5.99283000e-04
0.110376     6.85521000e-04
0.110413     6.91922000e-04
0.110449     6.02689000e-04
0.110486     6.75196000e-04
0.110523     6.57504000e-04
0.110560     6.73492000e-04
0.110597     6.76624000e-04
0.110634     6.19314000e-04
0.110670     1.48603000e-03
0.110707     7.78213000e-04
0.110744     7.26236000e-04
0.110781     6.81519000e-04
0.110818     1.03726000e-03
0.110855     3.45904000e-03
0.110892     6.72482000e-04
0.110929     6.82740000e-04
0.110966     6.84960000e-04
0.111003     6.48028000e-04
0.111040     6.19406000e-04
0.111077     6.82033000e-04
0.111114     6.89863000e-04
0.111151     6.97503000e-04
0.111188     6.76402000e-04
0.111225     6.45968000e-04
0.111262     6.73770000e-04
0.111299     6.62724000e-04
0.111336     6.69312000e-04
0.111374     6.82393000e-04
0.111411     6.83505000e-04
0.111448     6.77510000e-04
0.111485     6.72985000e-04
0.111522     6.84327000e-04
0.111559     5.28765000e-04
0.111596     6.52818000e-04
0.111634     6.52281000e-04
0.111671     6.30594000e-04
0.111708     6.66340000e-04
0.111745     7.01804000e-04
0.111783     6.27053000e-04
0.111820     6.69494000e-04
0.111857     6.42377000e-04
0.111894     6.41080000e-04
0.111932     6.56552000e-04
0.111969     6.68611000e-04
