# wavelength(um)    fp/fs
0.107867     2.79669000e-08
0.107903     5.53026000e-06
0.107938     1.28092000e-06
0.107974     3.23077000e-06
0.108010     1.24401000e-05
0.108046     1.16363000e-07
0.108082     3.00062000e-06
0.108118     7.25560000e-06
0.108155     3.81508000e-06
0.108191     1.29129000e-05
0.108227     1.06971000e-05
0.108263     1.29479000e-06
0.108299     3.63196000e-06
0.108335     2.54567000e-06
0.108371     3.14028000e-06
0.108407     1.60797000e-06
0.108443     3.42082000e-05
0.108479     1.93817000e-07
0.108516     3.39175000e-05
0.108552     3.65766000e-05
0.108588     2.59124000e-05
0.108624     2.86897000e-05
0.108660     9.18348000e-07
0.108697     1.64643000e-08
0.108733     3.03656000e-07
0.108769     2.80224000e-05
0.108805     5.74322000e-07
0.108842     1.55423000e-08
0.108878     3.40688000e-08
0.108914     4.09359000e-07
0.108950     8.83258000e-07
0.108987     1.21059000e-05
0.109023     1.03320000e-05
0.109059     1.67436000e-08
0.109096     1.03417000e-06
0.109132     4.61135000e-06
0.109169     1.37600000e-06
0.109205     2.14530000e-06
0.109241     1.04815000e-06
0.109278     6.08223000e-06
0.109314     2.39115000e-05
0.109351     5.51473000e-08
0.109387     1.00239000e-05
0.109424     5.43158000e-06
0.109460     5.25876000e-06
0.109496     1.57509000e-05
0.109533     8.78877000e-09
0.109569     1.71822000e-05
0.109606     3.38551000e-05
0.109643     5.44749000e-05
0.109679     2.04560000e-08
0.109716     4.34507000e-06
0.109752     9.80708000e-06
0.109789     6.89460000e-07
0.109825     1.43184000e-08
0.109862     1.60235000e-07
0.109899     3.60407000e-05
0.109935     8.03911000e-06
0.109972     4.64086000e-05
0.110009     2.34365000e-05
0.110045     1.89089000e-06
0.110082     6.14095000e-06
0.110119     3.79752000e-05
0.110155     2.08920000e-05
0.110192     3.04284000e-06
0.110229     4.25358000e-05
0.110266     6.24355000e-05
0.110302     5.68995000e-05
0.110339     3.02280000e-08
0.110376     7.21271000e-05
0.110413     7.46776000e-05
0.110449     3.40946000e-07
0.110486     6.59908000e-05
0.110523     6.58892000e-05
0.110560     8.00207000e-05
0.110597     8.24994000e-05
0.110634     4.81821000e-05
0.110670     1.68372000e-05
0.110707     7.19152000e-05
0.110744     1.08401000e-07
0.110781     8.00592000e-05
0.110818     3.69549000e-07
0.110855     7.53683000e-05
0.110892     3.91807000e-05
0.110929     7.66561000e-05
0.110966     7.66645000e-05
0.111003     3.77381000e-05
0.111040     1.93301000e-08
0.111077     7.47645000e-05
0.111114     8.56604000e-05
0.111151     8.33426000e-05
0.111188     6.29014000e-05
0.111225     6.99411000e-05
0.111262     5.90054000e-05
0.111299     8.55561000e-05
