# pressure(bar)    temperature(K)
 1.00000000e+02    1549.540
 8.96151000e+01    1549.540
 7.19686000e+01    1549.540
 5.77969000e+01    1549.540
 4.64159000e+01    1549.540
 3.72759000e+01    1549.540
 2.99358000e+01    1549.540
 2.40410000e+01    1549.540
 1.93070000e+01    1549.540
 1.55052000e+01    1549.540
 1.24520000e+01    1549.540
 1.00000000e+01    1549.520
 8.03086000e+00    1549.430
 6.44947000e+00    1549.120
 5.17947000e+00    1548.320
 4.15956000e+00    1546.640
 3.34048000e+00    1543.380
 2.68270000e+00    1537.800
 2.15443000e+00    1529.510
 1.73020000e+00    1518.000
 1.38950000e+00    1502.760
 1.11588000e+00    1484.070
 8.96151000e-01    1462.690
 7.19686000e-01    1438.000
 5.77969000e-01    1410.800
 4.64159000e-01    1382.100
 3.72759000e-01    1349.480
 2.99358000e-01    1313.050
 2.40410000e-01    1276.310
 1.93070000e-01    1243.430
 1.55052000e-01    1213.290
 1.24520000e-01    1184.900
 1.00000000e-01    1151.980
 8.03086000e-02    1115.710
 6.44947000e-02    1077.570
 5.17947000e-02    1041.830
 4.15956000e-02    1012.680
 3.34048000e-02     988.459
 2.68270000e-02     966.362
 2.15443000e-02     946.334
 1.73020000e-02     927.064
 1.38950000e-02     907.981
 1.11588000e-02     889.382
 8.96151000e-03     870.846
 7.19686000e-03     852.092
 5.77969000e-03     833.881
 4.64159000e-03     816.760
 3.72759000e-03     800.455
 2.99358000e-03     786.516
 2.40410000e-03     775.934
 1.93070000e-03     768.147
 1.55052000e-03     761.794
 1.24520000e-03     757.364
 1.00000000e-03     754.803
 8.03086000e-04     752.168
 6.44947000e-04     749.926
 5.17947000e-04     748.216
 4.15956000e-04     746.440
 3.34048000e-04     744.312
 2.68270000e-04     742.197
 2.15443000e-04     739.967
 1.73020000e-04     737.345
 1.38950000e-04     734.434
 1.11588000e-04     731.214
 8.96151000e-05     727.639
 7.19686000e-05     723.773
 5.77969000e-05     719.732
 4.64159000e-05     715.622
 3.72759000e-05     711.617
 2.99358000e-05     707.726
 2.40410000e-05     703.748
 1.93070000e-05     699.426
 1.55052000e-05     694.608
 1.24520000e-05     689.311
 1.00000000e-05     683.886
 8.03086000e-06     678.673
 6.44947000e-06     673.986
 5.17947000e-06     670.051
 4.15956000e-06     666.559
 3.34048000e-06     663.093
 2.68270000e-06     659.711
 2.15443000e-06     656.319
 1.73020000e-06     652.658
 1.38950000e-06     648.956
 1.11588000e-06     645.258
 8.96151000e-07     641.628
 7.19686000e-07     638.145
 5.77969000e-07     634.843
 4.64159000e-07     631.752
 3.72759000e-07     628.935
 2.99358000e-07     626.363
 2.40410000e-07     624.042
 1.93070000e-07     621.980
 1.55052000e-07     620.171
 1.24520000e-07     618.595
 1.00000000e-07     617.234
 8.03086000e-08     616.079
 6.44947000e-08     615.095
 5.17947000e-08     614.237
 4.15956000e-08     613.486
 3.34048000e-08     612.797
 2.68270000e-08     612.090
 2.15443000e-08     611.298
 1.73020000e-08     610.378
 1.38950000e-08     609.238
 1.11588000e-08     607.834
 8.96151000e-09     606.219
 7.19686000e-09     604.298
 5.77969000e-09     603.674
 4.64159000e-09     604.949
 3.72759000e-09     608.410
 2.99358000e-09     614.238
 2.40410000e-09     622.558
 1.93070000e-09     633.452
 1.55052000e-09     646.965
 1.24520000e-09     663.090
 1.00000000e-09     681.754
