# wavelength(um)    fp/fs
0.107867     7.91553000e-07
0.107903     3.17727000e-05
0.107938     2.01008000e-05
0.107974     2.81997000e-05
0.108010     3.66992000e-05
0.108046     3.93592000e-06
0.108082     2.75532000e-05
0.108118     3.36200000e-05
0.108155     2.93290000e-05
0.108191     3.58750000e-05
0.108227     3.43506000e-05
0.108263     1.71755000e-05
0.108299     2.58766000e-05
0.108335     3.18221000e-05
0.108371     3.46612000e-05
0.108407     2.62855000e-05
0.108443     4.05137000e-05
0.108479     1.01901000e-05
0.108516     4.05242000e-05
0.108552     4.07892000e-05
0.108588     3.90713000e-05
0.108624     3.97926000e-05
0.108660     1.60947000e-05
0.108697     1.05123000e-07
0.108733     1.59348000e-05
0.108769     3.98740000e-05
0.108805     1.37591000e-05
0.108842     1.23860000e-07
0.108878     7.02947000e-09
0.108914     1.14612000e-05
0.108950     1.94013000e-05
0.108987     3.60068000e-05
0.109023     3.56458000e-05
0.109059     1.77555000e-07
0.109096     1.85380000e-05
0.109132     2.97556000e-05
0.109169     2.04871000e-05
0.109205     2.52866000e-05
0.109241     1.83904000e-05
0.109278     3.27399000e-05
0.109314     3.95577000e-05
0.109351     2.01641000e-06
0.109387     3.52748000e-05
0.109424     3.07297000e-05
0.109460     3.91135000e-05
0.109496     3.81339000e-05
0.109533     8.95761000e-08
0.109569     3.79278000e-05
0.109606     4.08443000e-05
0.109643     4.23810000e-05
0.109679     4.25990000e-07
0.109716     3.59166000e-05
0.109752     3.59268000e-05
0.109789     1.47682000e-05
0.109825     1.21132000e-07
0.109862     1.32423000e-05
0.109899     4.11099000e-05
0.109935     3.42803000e-05
0.109972     4.19602000e-05
0.110009     4.05714000e-05
0.110045     2.41606000e-05
0.110082     3.31579000e-05
0.110119     4.16019000e-05
0.110155     3.69920000e-05
0.110192     2.84474000e-05
0.110229     4.17638000e-05
0.110266     4.28352000e-05
0.110302     4.24421000e-05
0.110339     9.30465000e-07
0.110376     4.32088000e-05
0.110413     4.34905000e-05
0.110449     1.08274000e-05
0.110486     4.27515000e-05
0.110523     4.28740000e-05
0.110560     4.34874000e-05
0.110597     4.36181000e-05
0.110634     4.26591000e-05
0.110670     3.81896000e-05
0.110707     4.32119000e-05
0.110744     5.56899000e-06
0.110781     4.35017000e-05
0.110818     2.09500000e-05
0.110855     4.35664000e-05
0.110892     4.15164000e-05
0.110929     4.34352000e-05
0.110966     4.34248000e-05
0.111003     4.14565000e-05
0.111040     6.52758000e-07
0.111077     4.33073000e-05
0.111114     4.37439000e-05
0.111151     4.36572000e-05
0.111188     4.27736000e-05
0.111225     4.37456000e-05
0.111262     4.27304000e-05
0.111299     4.37278000e-05
0.111336     4.36585000e-05
0.111374     4.28315000e-05
0.111411     4.32771000e-05
0.111448     4.38494000e-05
0.111485     4.37326000e-05
0.111522     4.37806000e-05
0.111559     2.73396000e-07
0.111596     4.37905000e-05
0.111634     4.35182000e-05
0.111671     4.08571000e-05
0.111708     4.37705000e-05
0.111745     4.37274000e-05
0.111783     4.30184000e-05
0.111820     4.34612000e-05
0.111857     3.56322000e-05
0.111894     4.13794000e-05
0.111932     4.38483000e-05
0.111969     4.35227000e-05
0.112006     4.35348000e-05
0.112044     4.37555000e-05
0.112081     4.29240000e-05
0.112118     4.37550000e-05
0.112156     1.92831000e-05
0.112193     2.61842000e-07
0.112231     4.39127000e-05
0.112268     4.37943000e-05
0.112305     1.39629000e-05
0.112343     4.39458000e-05
0.112380     4.39313000e-05
0.112418     4.39339000e-05
0.112455     4.39396000e-05
0.112493     4.37256000e-05
0.112530     4.37792000e-05
0.112568     4.38968000e-05
0.112605     4.38224000e-05
0.112643     9.86908000e-06
0.112680     4.37606000e-05
0.112718     4.38213000e-05
0.112755     3.96900000e-05
0.112793     4.37108000e-05
0.112831     4.38792000e-05
0.112868     4.38640000e-05
0.112906     4.37705000e-05
0.112943     4.36740000e-05
0.112981     4.37831000e-05
0.113019     4.37591000e-05
0.113056     4.00564000e-05
0.113094     4.31669000e-05
0.113132     2.99656000e-06
0.113170     4.32057000e-05
0.113207     4.25692000e-05
0.113245     4.33742000e-05
0.113283     1.87650000e-05
0.113320     4.31898000e-05
0.113358     4.29332000e-05
0.113396     4.25915000e-05
0.113434     3.84738000e-05
0.113472     4.10938000e-05
0.113509     1.31263000e-06
0.113547     2.34968000e-05
0.113585     3.36090000e-05
0.113623     3.98789000e-05
0.113661     4.15649000e-05
0.113699     2.30839000e-05
0.113737     3.89306000e-05
0.113775     3.88451000e-05
0.113813     2.72951000e-06
0.113850     4.33126000e-05
0.113888     9.45206000e-08
0.113926     4.32928000e-05
0.113964     4.31729000e-05
0.114002     3.71439000e-06
0.114040     7.88765000e-07
0.114078     4.36795000e-05
0.114116     4.18446000e-05
0.114154     2.64144000e-05
0.114192     2.43503000e-05
0.114231     3.80465000e-05
0.114269     4.34023000e-05
0.114307     4.33375000e-05
0.114345     4.35891000e-05
0.114383     4.33779000e-05
0.114421     1.14862000e-05
0.114459     4.31703000e-05
0.114497     4.38041000e-05
0.114536     4.16808000e-05
0.114574     5.18181000e-08
0.114612     2.01318000e-05
0.114650     4.36592000e-05
0.114688     4.37055000e-05
0.114727     4.11001000e-05
0.114765     3.08147000e-05
0.114803     4.36474000e-05
0.114841     1.01006000e-05
0.114880     3.65462000e-05
0.114918     4.31997000e-05
0.114956     4.37180000e-05
0.114994     4.22290000e-05
0.115033     4.32910000e-05
0.115071     1.43493000e-06
0.115110     4.38028000e-05
0.115148     4.34119000e-05
0.115186     4.19604000e-05
0.115225     4.27812000e-05
0.115263     3.91030000e-05
0.115301     4.37417000e-05
0.115340     4.38013000e-05
0.115378     4.34849000e-05
0.115417     4.23572000e-05
0.115455     4.37666000e-05
0.115494     4.37984000e-05
0.115532     4.34673000e-05
0.115571     4.33557000e-05
0.115609     3.87492000e-05
0.115648     4.36145000e-05
0.115686     4.36370000e-05
0.115725     4.35333000e-05
0.115764     2.38565000e-05
0.115802     4.35583000e-05
0.115841     4.34658000e-05
0.115879     4.35198000e-05
0.115918     2.61358000e-05
0.115957     4.35142000e-05
0.115995     4.34418000e-05
0.116034     4.32155000e-05
0.116073     4.32787000e-05
0.116111     4.32556000e-05
0.116150     4.30813000e-05
0.116189     8.71111000e-07
0.116227     4.27209000e-05
0.116266     9.56447000e-06
0.116305     5.64373000e-06
0.116344     3.81638000e-05
0.116383     5.73528000e-08
0.116421     3.87226000e-05
0.116460     4.13701000e-05
0.116499     4.21698000e-05
0.116538     4.22800000e-05
0.116577     4.20580000e-05
0.116615     4.26634000e-05
0.116654     4.74973000e-06
0.116693     4.22180000e-05
0.116732     4.24251000e-05
0.116771     4.24475000e-05
0.116810     4.23170000e-05
0.116849     4.21223000e-05
0.116888     4.19558000e-05
0.116927     4.16917000e-05
0.116966     1.61354000e-05
0.117005     4.08731000e-05
0.117044     4.03656000e-05
0.117083     3.94990000e-05
0.117122     3.81043000e-05
0.117161     3.39454000e-05
0.117200     2.96434000e-05
0.117239     1.10997000e-05
0.117278     1.36859000e-05
0.117317     3.03677000e-05
0.117356     3.57675000e-05
0.117395     3.81283000e-05
0.117434     3.89816000e-05
0.117474     4.01178000e-05
0.117513     4.05643000e-05
0.117552     4.07915000e-05
0.117591     4.05001000e-05
0.117630     4.06753000e-05
0.117670     3.45248000e-05
0.117709     3.91250000e-05
0.117748     3.36980000e-05
0.117787     3.15255000e-05
0.117827     9.03337000e-07
0.117866     2.91318000e-05
0.117905     3.67763000e-05
0.117944     3.92474000e-05
0.117984     4.02583000e-05
0.118023     4.06902000e-07
0.118062     4.07435000e-05
0.118102     4.06517000e-05
0.118141     3.97752000e-05
0.118180     2.94652000e-05
0.118220     2.04040000e-05
0.118259     1.47088000e-05
0.118299     3.72485000e-05
0.118338     2.56042000e-05
0.118378     8.93002000e-06
0.118417     3.97500000e-05
0.118457     3.55422000e-05
0.118496     1.21776000e-05
0.118535     2.19529000e-05
0.118575     2.68595000e-05
0.118615     1.03012000e-05
0.118654     3.74473000e-05
0.118694     4.00804000e-05
0.118733     3.96167000e-05
0.118773     4.10339000e-05
0.118812     4.18537000e-05
0.118852     4.18881000e-05
0.118892     4.23752000e-05
0.118931     1.61808000e-06
0.118971     4.15118000e-05
0.119011     3.48036000e-05
0.119050     4.20639000e-05
0.119090     3.99646000e-05
0.119130     3.91227000e-05
0.119169     2.52997000e-05
0.119209     3.75918000e-05
0.119249     4.09253000e-05
0.119288     4.21389000e-05
0.119328     4.25109000e-05
0.119368     6.68380000e-06
0.119408     3.47974000e-05
0.119448     4.27493000e-05
0.119487     4.24241000e-05
0.119527     3.20028000e-06
0.119567     3.85499000e-05
0.119607     3.82606000e-05
0.119647     4.08779000e-05
0.119687     4.23764000e-05
0.119727     3.91345000e-05
0.119767     3.92628000e-05
0.119806     3.79546000e-05
0.119846     1.94819000e-05
0.119886     8.53037000e-08
0.119926     4.16644000e-05
0.119966     3.97363000e-05
0.120006     4.19682000e-05
0.120046     4.16754000e-05
0.120086     4.26668000e-05
0.120126     4.02461000e-05
0.120166     4.00817000e-05
0.120206     3.81787000e-05
0.120246     4.32234000e-05
0.120287     1.79879000e-07
0.120327     4.23834000e-05
0.120367     4.24420000e-05
0.120407     3.97438000e-05
0.120447     1.84043000e-05
0.120487     4.19038000e-05
0.120527     4.26308000e-05
0.120567     6.09754000e-06
0.120608     4.25133000e-05
0.120648     3.71961000e-05
0.120688     4.23372000e-05
0.120728     3.94200000e-05
0.120769     4.08800000e-06
0.120809     3.20743000e-05
0.120849     3.60183000e-05
0.120889     1.37367000e-06
0.120930     4.31093000e-05
0.120970     4.04743000e-05
0.121010     4.21240000e-05
0.121051     3.10436000e-05
0.121091     4.17095000e-05
0.121131     4.20952000e-05
0.121172     1.14954000e-06
0.121212     4.26775000e-05
0.121253     1.90930000e-06
0.121293     1.09544000e-07
0.121333     2.46935000e-05
0.121374     4.27850000e-06
0.121414     9.35731000e-08
0.121455     4.24048000e-05
0.121495     3.85979000e-05
0.121536     9.79576000e-07
0.121576     6.27241000e-06
0.121617     4.11277000e-05
0.121657     9.59217000e-08
0.121698     4.26656000e-05
0.121738     4.14845000e-05
0.121779     7.91870000e-06
0.121820     3.74705000e-07
0.121860     4.22975000e-05
0.121901     4.08163000e-05
0.121941     2.22934000e-05
0.121982     4.27962000e-05
0.122023     2.56941000e-05
0.122063     3.98737000e-05
0.122104     4.25217000e-05
0.122145     4.28540000e-05
0.122186     4.26696000e-05
0.122226     1.15864000e-06
0.122267     2.05044000e-06
0.122308     4.19471000e-05
0.122349     3.47137000e-05
0.122389     1.08384000e-05
0.122430     4.29124000e-05
0.122471     4.27151000e-05
0.122512     2.46195000e-05
0.122553     8.64466000e-06
0.122593     4.28744000e-05
0.122634     4.29724000e-05
0.122675     4.26739000e-05
0.122716     4.15940000e-05
0.122757     4.27430000e-05
0.122798     4.24364000e-05
0.122839     4.14531000e-05
0.122880     4.06535000e-05
0.122921     3.34482000e-05
0.122962     4.00908000e-05
0.123003     3.64418000e-05
0.123044     3.98670000e-05
0.123085     9.20017000e-08
0.123126     2.42903000e-05
0.123167     3.87800000e-05
0.123208     4.13674000e-05
0.123249     4.20525000e-05
0.123290     4.00856000e-05
0.123331     3.66210000e-05
0.123372     4.14818000e-05
0.123413     3.91799000e-05
0.123454     4.15880000e-05
0.123496     3.99388000e-05
0.123537     3.90242000e-05
0.123578     6.10366000e-06
0.123619     5.47785000e-08
0.123660     6.89054000e-06
0.123702     3.76165000e-05
0.123743     4.03847000e-05
0.123784     3.89562000e-05
0.123825     3.75644000e-05
0.123867     4.15919000e-05
0.123908     4.13196000e-05
0.123949     4.16067000e-05
0.123991     4.16860000e-05
0.124032     2.99937000e-07
0.124073     3.97263000e-05
0.124115     2.07748000e-05
0.124156     1.73443000e-05
0.124197     3.95207000e-05
0.124239     4.08247000e-05
0.124280     4.19374000e-05
0.124322     2.07848000e-05
0.124363     3.55331000e-05
0.124404     3.86918000e-05
0.124446     3.72568000e-05
0.124487     3.81516000e-05
0.124529     9.82287000e-08
0.124570     3.34562000e-05
0.124612     3.23207000e-05
0.124653     9.26530000e-07
0.124695     2.16544000e-05
0.124737     3.33121000e-05
0.124778     3.98091000e-05
0.124820     3.83158000e-05
0.124861     3.21304000e-05
0.124903     3.67445000e-05
0.124945     1.44707000e-06
0.124986     3.59380000e-05
0.125028     2.55704000e-05
0.125070     2.37802000e-05
0.125111     9.95726000e-07
0.125153     3.13512000e-05
0.125195     2.35170000e-05
0.125236     3.70829000e-05
0.125278     2.36702000e-05
0.125320     3.15080000e-05
0.125362     4.01465000e-10
0.125403     3.85868000e-05
0.125445     3.85063000e-05
0.125487     3.24367000e-05
0.125529     2.14575000e-05
0.125571     5.07356000e-06
0.125613     9.30139000e-06
0.125655     3.30292000e-05
0.125696     1.90584000e-05
0.125738     2.69384000e-05
0.125780     1.19693000e-07
0.125822     1.12043000e-06
0.125864     2.20031000e-05
0.125906     3.35813000e-05
0.125948     6.56798000e-06
0.125990     3.09495000e-05
0.126032     1.88441000e-05
0.126074     2.90304000e-05
0.126116     2.79369000e-05
0.126158     4.03280000e-07
0.126200     1.49959000e-05
0.126242     5.13910000e-06
0.126284     5.88989000e-07
0.126326     6.28658000e-06
0.126368     7.32699000e-06
0.126411     1.00978000e-05
0.126453     2.50007000e-05
0.126495     5.18865000e-06
0.126537     2.58798000e-05
0.126579     1.69903000e-05
0.126621     3.21038000e-06
0.126664     1.51670000e-05
0.126706     2.54684000e-05
0.126748     7.58495000e-08
0.126790     1.71274000e-05
0.126833     2.80458000e-05
0.126875     1.45026000e-07
0.126917     4.59476000e-06
0.126959     9.12660000e-06
0.127002     7.52812000e-06
0.127044     2.22780000e-09
0.127086     2.68295000e-06
0.127129     4.60594000e-10
0.127171     2.11752000e-09
0.127214     1.46993000e-05
0.127256     2.75999000e-07
0.127298     3.35332000e-05
0.127341     3.60817000e-05
0.127383     1.13645000e-07
0.127426     9.10302000e-06
0.127468     1.06951000e-07
0.127511     3.81398000e-05
0.127553     2.42419000e-05
0.127596     2.31563000e-05
0.127638     3.14182000e-08
0.127681     2.63968000e-05
0.127723     3.58822000e-05
0.127766     1.48073000e-05
0.127809     3.75202000e-05
0.127851     3.44526000e-05
0.127894     1.07213000e-05
0.127936     4.05315000e-06
0.127979     8.57142000e-06
0.128022     3.45207000e-05
0.128064     2.63283000e-07
0.128107     3.72850000e-05
0.128150     3.78425000e-05
0.128192     3.82307000e-05
0.128235     2.05749000e-05
0.128278     3.60236000e-05
0.128321     2.37093000e-05
0.128363     3.76856000e-05
0.128406     3.64844000e-05
0.128449     3.40153000e-05
0.128492     3.90181000e-05
0.128535     3.86606000e-05
0.128578     3.79913000e-05
0.128620     3.75423000e-05
0.128663     6.88609000e-06
0.128706     8.32739000e-10
0.128749     5.07009000e-06
0.128792     3.83729000e-05
0.128835     3.83777000e-05
0.128878     3.28140000e-05
0.128921     1.90470000e-09
0.128964     1.55886000e-06
0.129007     3.02364000e-05
0.129050     3.62500000e-05
0.129093     3.92444000e-05
0.129136     3.85365000e-05
0.129179     1.65311000e-07
0.129222     3.95296000e-05
0.129265     3.21821000e-06
0.129308     3.87960000e-05
0.129351     3.81020000e-05
0.129394     2.62028000e-05
0.129437     3.76390000e-05
0.129481     1.96560000e-06
0.129524     1.90500000e-06
0.129567     4.23433000e-07
0.129610     3.73437000e-05
0.129653     3.39195000e-05
0.129697     3.61792000e-05
0.129740     3.32539000e-05
0.129783     3.53058000e-05
0.129826     2.74488000e-06
0.129870     3.69004000e-05
0.129913     3.74755000e-05
0.129956     6.90166000e-07
0.129999     3.76272000e-05
0.130043     1.52210000e-05
0.130086     3.65848000e-05
0.130130     2.31982000e-05
0.130173     2.98435000e-07
0.130216     3.55040000e-05
0.130260     3.76173000e-05
0.130303     3.65017000e-05
0.130347     3.60967000e-05
0.130390     3.66087000e-07
0.130433     3.85099000e-06
0.130477     3.54679000e-05
0.130520     3.46914000e-05
0.130564     3.52635000e-05
0.130607     3.42980000e-05
0.130651     4.20205000e-07
0.130695     3.22311000e-05
0.130738     3.14722000e-05
0.130782     2.42522000e-05
0.130825     3.02161000e-05
0.130869     2.71209000e-05
0.130913     5.28472000e-08
0.130956     2.30516000e-05
0.131000     2.11241000e-05
0.131043     1.54777000e-05
0.131087     2.82516000e-06
0.131131     6.54403000e-06
0.131175     1.82995000e-06
0.131218     1.00905000e-07
0.131262     2.98923000e-06
0.131306     8.15770000e-06
0.131350     1.33128000e-05
0.131393     1.58364000e-05
0.131437     1.16303000e-05
0.131481     1.22324000e-05
0.131525     1.36766000e-05
0.131569     6.18267000e-06
0.131612     1.40885000e-06
0.131656     1.35448000e-05
0.131700     2.03962000e-05
0.131744     2.12569000e-05
0.131788     2.24115000e-05
0.131832     2.12322000e-08
0.131876     1.33832000e-05
0.131920     1.10102000e-10
0.131964     7.87768000e-06
0.132008     1.15821000e-05
0.132052     1.74693000e-05
0.132096     7.86017000e-07
0.132140     1.30085000e-05
0.132184     2.30663000e-05
0.132228     7.34375000e-06
0.132272     1.99335000e-05
0.132316     1.89600000e-05
0.132360     1.90054000e-05
0.132404     4.64841000e-06
0.132449     1.46760000e-05
0.132493     3.11255000e-05
0.132537     2.24178000e-05
0.132581     3.28810000e-05
0.132625     3.11086000e-05
0.132669     1.37483000e-06
0.132714     2.87775000e-05
0.132758     3.37250000e-05
0.132802     4.47419000e-08
0.132846     2.72068000e-05
0.132891     2.91681000e-05
0.132935     3.46292000e-05
0.132979     2.19969000e-10
0.133024     3.37846000e-05
0.133068     3.39822000e-05
0.133112     3.06454000e-05
0.133157     2.39850000e-05
0.133201     1.57394000e-06
0.133245     2.39568000e-05
0.133290     2.70151000e-05
0.133334     2.98251000e-05
0.133379     2.62871000e-05
0.133423     1.79016000e-05
0.133468     3.68446000e-06
0.133512     4.35631000e-06
0.133557     1.77512000e-07
0.133601     4.46958000e-09
0.133646     2.39102000e-05
0.133690     3.10869000e-05
0.133735     3.06698000e-05
0.133779     3.28749000e-06
0.133824     1.86831000e-05
0.133869     4.04063000e-06
0.133913     1.20054000e-05
0.133958     9.09289000e-06
0.134003     1.82149000e-06
0.134047     1.09455000e-05
0.134092     3.43674000e-08
0.134137     3.24789000e-05
0.134181     3.44776000e-05
0.134226     3.16392000e-05
0.134271     3.53619000e-09
0.134316     2.08329000e-05
0.134360     7.51216000e-08
0.134405     3.19098000e-05
0.134450     3.20909000e-05
0.134495     2.76022000e-05
0.134540     3.02879000e-06
0.134584     1.54200000e-05
0.134629     1.29183000e-05
0.134674     2.72048000e-06
0.134719     4.99757000e-08
0.134764     2.73165000e-05
0.134809     4.49327000e-06
0.134854     3.19149000e-05
0.134899     4.62015000e-06
0.134944     2.17688000e-05
0.134989     3.52905000e-06
0.135034     2.74194000e-05
0.135079     2.89673000e-05
0.135124     3.15721000e-05
0.135169     3.72996000e-05
0.135214     3.12914000e-05
0.135259     3.48433000e-05
0.135304     3.70214000e-05
0.135349     3.67409000e-05
0.135394     3.26303000e-05
0.135439     4.25235000e-06
0.135484     3.22776000e-05
0.135530     3.25294000e-05
0.135575     2.62111000e-05
0.135620     1.29770000e-05
0.135665     2.26702000e-05
0.135710     4.96156000e-06
0.135756     1.29612000e-05
0.135801     1.09395000e-06
0.135846     1.79402000e-05
0.135891     2.03463000e-05
0.135937     1.39501000e-05
0.135982     5.69460000e-08
0.136027     4.58070000e-06
0.136073     8.78788000e-06
0.136118     3.40894000e-07
0.136163     7.38873000e-06
0.136209     1.75224000e-05
0.136254     1.86433000e-05
0.136300     1.70812000e-05
0.136345     1.09946000e-05
0.136391     3.75290000e-06
0.136436     1.79443000e-05
0.136481     9.94337000e-06
0.136527     7.64997000e-06
0.136572     5.95905000e-07
0.136618     1.36584000e-06
0.136664     2.13188000e-05
0.136709     1.06168000e-05
0.136755     1.39328000e-06
0.136800     2.91603000e-06
0.136846     1.39692000e-05
0.136891     6.03124000e-06
0.136937     6.37401000e-06
0.136983     1.13246000e-06
0.137028     2.50676000e-05
0.137074     1.96744000e-05
0.137120     7.80329000e-09
0.137165     9.23336000e-07
0.137211     2.34343000e-05
0.137257     1.90780000e-06
0.137303     2.67655000e-05
0.137348     2.20770000e-05
0.137394     1.62210000e-05
0.137440     2.60381000e-05
0.137486     7.47368000e-06
