# wavelength(um)    fp/fs
0.100007     1.06379000e-04
0.100040     9.94432000e-05
0.100074     1.07048000e-04
0.100107     1.07220000e-04
0.100140     1.06846000e-04
0.100174     1.06661000e-04
0.100207     8.71518000e-05
0.100241     1.06557000e-04
0.100274     1.06291000e-04
0.100307     1.04885000e-04
0.100341     1.04319000e-04
0.100374     1.04344000e-04
0.100408     1.07265000e-04
0.100441     1.07199000e-04
0.100475     1.06696000e-04
0.100508     1.04633000e-04
0.100542     1.06773000e-04
0.100575     1.05255000e-04
0.100609     1.05020000e-04
0.100642     8.49891000e-05
0.100676     1.05389000e-04
0.100709     1.02478000e-04
0.100743     1.05857000e-04
0.100777     1.06655000e-04
0.100810     1.04122000e-04
0.100844     4.92517000e-07
0.100877     1.02959000e-04
0.100911     1.06950000e-04
0.100945     1.06674000e-04
0.100978     1.06540000e-04
0.101012     1.06913000e-04
0.101046     1.00982000e-04
0.101079     1.06696000e-04
0.101113     1.07035000e-04
0.101147     1.07044000e-04
0.101180     1.07008000e-04
0.101214     1.06802000e-04
0.101248     1.01579000e-04
0.101282     1.05853000e-04
0.101315     1.06556000e-04
0.101349     1.04644000e-04
0.101383     8.61564000e-05
0.101417     1.04703000e-04
0.101451     1.05974000e-04
0.101484     1.04613000e-04
0.101518     1.06541000e-04
0.101552     1.06372000e-04
0.101586     1.06253000e-04
0.101620     1.06542000e-04
0.101654     1.06427000e-04
0.101688     1.00655000e-04
0.101721     1.06113000e-04
0.101755     1.05264000e-04
0.101789     9.61315000e-05
0.101823     4.67582000e-07
0.101857     1.04644000e-04
0.101891     1.05162000e-04
0.101925     1.05049000e-04
0.101959     8.48417000e-05
0.101993     1.02530000e-04
0.102027     1.04382000e-04
0.102061     1.03785000e-04
0.102095     1.03470000e-04
0.102129     1.02600000e-04
0.102163     1.01337000e-04
0.102197     9.92125000e-05
0.102231     9.51617000e-05
0.102265     8.49609000e-05
0.102299     1.36676000e-05
0.102333     7.97361000e-05
0.102368     9.32349000e-05
0.102402     9.58223000e-05
0.102436     9.52392000e-05
0.102470     1.01956000e-04
0.102504     1.02268000e-04
0.102538     1.03653000e-04
0.102573     9.00274000e-05
0.102607     9.94982000e-05
0.102641     1.03656000e-04
0.102675     1.01984000e-04
0.102709     1.02081000e-04
0.102744     7.75600000e-05
0.102778     1.02501000e-04
0.102812     1.04274000e-04
0.102846     1.03548000e-04
0.102881     9.91159000e-05
0.102915     1.05020000e-04
0.102949     1.05411000e-04
0.102984     1.05294000e-04
0.103018     5.05779000e-05
0.103052     1.04947000e-04
0.103087     8.10146000e-05
0.103121     1.04003000e-04
0.103155     1.03040000e-04
0.103190     6.79603000e-06
0.103224     1.04269000e-04
0.103258     1.03226000e-04
0.103293     1.01759000e-04
0.103327     1.00726000e-04
0.103362     1.04335000e-04
0.103396     4.71836000e-07
0.103431     1.80089000e-06
0.103465     1.01036000e-04
0.103500     9.32770000e-05
0.103534     1.75729000e-05
0.103569     9.67384000e-05
0.103603     9.83779000e-05
0.103638     9.32208000e-05
0.103672     8.15593000e-05
0.103707     8.25298000e-05
0.103741     6.82002000e-05
0.103776     9.34437000e-05
0.103811     9.88353000e-08
0.103845     1.00487000e-04
0.103880     1.02423000e-04
0.103914     1.02168000e-04
0.103949     3.48368000e-05
0.103984     9.21220000e-05
0.104018     1.03403000e-04
0.104053     1.00574000e-04
0.104088     9.20823000e-05
0.104122     9.15900000e-05
0.104157     1.02041000e-04
0.104192     1.04175000e-04
0.104227     1.04430000e-04
0.104261     9.90370000e-05
0.104296     1.02488000e-04
0.104331     1.04574000e-04
0.104366     1.02592000e-04
0.104400     8.96055000e-05
0.104435     1.04529000e-04
0.104470     1.04953000e-04
0.104505     1.04702000e-04
0.104540     1.04719000e-04
0.104575     1.05582000e-04
0.104609     1.05612000e-04
0.104644     1.05590000e-04
0.104679     9.55990000e-05
0.104714     1.05294000e-04
0.104749     1.04126000e-04
0.104784     9.44506000e-05
0.104819     1.04732000e-04
0.104854     1.14398000e-06
0.104889     1.03844000e-04
0.104924     1.04805000e-04
0.104959     1.03273000e-04
0.104994     1.01480000e-04
0.105029     9.68907000e-05
0.105064     1.04656000e-04
0.105099     8.27147000e-05
0.105134     9.93755000e-05
0.105169     1.05206000e-04
0.105204     1.05164000e-04
0.105239     1.04415000e-04
0.105274     1.05025000e-04
0.105309     1.04305000e-04
0.105344     1.04433000e-04
0.105379     1.04374000e-04
0.105414     2.68173000e-07
0.105449     4.75474000e-07
0.105485     8.02304000e-05
0.105520     3.25814000e-05
0.105555     9.98242000e-05
0.105590     1.03818000e-04
0.105625     5.64300000e-07
0.105661     1.02028000e-04
0.105696     1.04165000e-04
0.105731     1.02932000e-04
0.105766     1.03752000e-04
0.105802     1.03977000e-04
0.105837     1.16025000e-06
0.105872     1.03119000e-04
0.105907     9.96801000e-05
0.105943     1.03444000e-04
0.105978     1.03453000e-04
0.106013     1.03380000e-04
0.106049     1.02828000e-04
0.106084     1.02480000e-04
0.106119     9.97976000e-05
0.106155     9.96493000e-05
0.106190     1.01159000e-04
0.106225     8.27269000e-05
0.106261     1.01384000e-04
0.106296     1.01309000e-04
0.106332     9.92796000e-05
0.106367     1.00501000e-04
0.106403     9.86524000e-05
0.106438     8.64761000e-05
0.106474     8.82451000e-05
0.106509     9.57297000e-05
0.106545     6.56007000e-05
0.106580     9.74594000e-05
0.106616     9.56549000e-05
0.106651     7.57018000e-05
0.106687     6.06544000e-05
0.106722     8.74753000e-05
0.106758     8.90504000e-05
0.106793     9.51922000e-05
0.106829     9.23981000e-05
0.106865     6.58335000e-05
0.106900     1.15056000e-05
0.106936     6.81376000e-06
0.106972     2.75149000e-05
0.107007     4.79086000e-05
0.107043     1.00667000e-07
0.107079     7.08439000e-05
0.107114     8.04577000e-05
0.107150     7.45281000e-05
0.107186     1.49744000e-07
0.107221     4.47846000e-05
0.107257     1.48079000e-05
0.107293     7.62621000e-08
0.107329     2.48994000e-05
0.107364     4.91780000e-05
0.107400     9.66650000e-08
0.107436     5.18635000e-05
0.107472     7.00911000e-05
0.107508     3.01198000e-06
0.107543     6.32859000e-05
0.107579     1.23031000e-05
0.107615     5.58551000e-05
0.107651     7.08705000e-05
0.107687     2.49457000e-07
0.107723     1.00550000e-07
0.107759     9.88218000e-06
0.107795     3.75743000e-05
0.107831     2.24166000e-05
0.107867     6.07279000e-07
0.107903     6.07858000e-05
0.107938     3.22512000e-05
0.107974     5.02788000e-05
0.108010     7.56552000e-05
0.108046     4.62329000e-06
0.108082     4.87981000e-05
0.108118     6.59523000e-05
0.108155     5.35708000e-05
0.108191     7.58343000e-05
0.108227     7.24114000e-05
0.108263     3.23256000e-05
0.108299     5.20415000e-05
0.108335     4.66799000e-05
0.108371     5.10634000e-05
0.108407     3.70600000e-05
0.108443     9.13365000e-05
0.108479     7.60782000e-06
0.108516     9.12456000e-05
0.108552     9.23419000e-05
0.108588     8.69196000e-05
0.108624     8.86661000e-05
0.108660     2.64326000e-05
0.108697     1.52736000e-07
0.108733     1.13812000e-05
0.108769     8.84549000e-05
0.108805     1.92219000e-05
0.108842     1.50945000e-07
0.108878     3.12315000e-08
0.108914     1.48576000e-05
0.108950     2.58341000e-05
0.108987     7.49146000e-05
0.109023     7.23666000e-05
0.109059     1.92967000e-07
0.109096     2.84882000e-05
0.109132     5.71008000e-05
0.109169     3.35997000e-05
0.109205     4.21951000e-05
0.109241     2.87248000e-05
0.109278     6.26869000e-05
0.109314     8.62005000e-05
0.109351     2.04555000e-06
0.109387     7.16615000e-05
0.109424     6.01989000e-05
0.109460     6.28093000e-05
0.109496     7.97146000e-05
0.109533     8.96102000e-08
0.109569     8.08214000e-05
0.109606     9.15299000e-05
0.109643     9.83877000e-05
0.109679     4.09066000e-07
0.109716     5.75772000e-05
0.109752     7.16130000e-05
0.109789     2.19336000e-05
0.109825     1.47711000e-07
0.109862     6.44416000e-06
0.109899     9.24426000e-05
0.109935     6.78294000e-05
0.109972     9.61689000e-05
0.110009     8.73742000e-05
0.110045     3.97293000e-05
0.110082     6.29615000e-05
0.110119     9.40759000e-05
0.110155     8.39730000e-05
0.110192     4.92149000e-05
0.110229     9.50211000e-05
0.110266     1.00426000e-04
0.110302     9.89401000e-05
0.110339     9.48903000e-07
0.110376     1.02383000e-04
0.110413     1.03531000e-04
0.110449     1.28721000e-05
0.110486     1.00871000e-04
0.110523     1.01250000e-04
0.110560     1.03803000e-04
0.110597     1.04285000e-04
0.110634     9.92276000e-05
0.110670     8.06686000e-05
0.110707     1.02359000e-04
0.110744     4.47530000e-06
0.110781     1.03832000e-04
0.110818     1.34780000e-05
0.110855     1.03496000e-04
0.110892     9.38165000e-05
0.110929     1.03330000e-04
0.110966     1.03304000e-04
0.111003     9.37540000e-05
0.111040     4.97452000e-07
0.111077     1.02889000e-04
0.111114     1.04833000e-04
0.111151     1.04467000e-04
0.111188     1.00416000e-04
0.111225     1.03860000e-04
0.111262     1.00012000e-04
0.111299     1.04801000e-04
0.111336     1.04408000e-04
0.111374     1.00241000e-04
0.111411     1.02570000e-04
0.111448     1.05300000e-04
0.111485     1.04371000e-04
0.111522     1.05037000e-04
0.111559     2.49933000e-07
0.111596     1.05012000e-04
0.111634     1.03826000e-04
0.111671     9.34592000e-05
0.111708     1.04595000e-04
0.111745     1.04879000e-04
0.111783     1.00059000e-04
0.111820     1.03527000e-04
0.111857     6.68010000e-05
0.111894     9.44419000e-05
0.111932     1.05336000e-04
0.111969     1.03994000e-04
0.112006     1.04017000e-04
0.112044     1.04903000e-04
0.112081     1.00865000e-04
0.112118     1.04923000e-04
0.112156     1.69543000e-05
0.112193     2.43369000e-07
0.112231     1.05527000e-04
0.112268     1.05138000e-04
0.112305     2.23477000e-05
0.112343     1.05762000e-04
0.112380     1.05469000e-04
0.112418     1.05726000e-04
0.112455     1.05726000e-04
0.112493     1.04834000e-04
0.112530     1.05079000e-04
0.112568     1.05606000e-04
0.112605     1.04488000e-04
0.112643     1.09180000e-05
0.112680     1.04691000e-04
0.112718     1.05359000e-04
0.112755     7.40397000e-05
0.112793     1.04988000e-04
0.112831     1.05599000e-04
0.112868     1.05553000e-04
0.112906     1.05231000e-04
0.112943     1.04889000e-04
0.112981     1.05297000e-04
0.113019     1.05193000e-04
0.113056     8.40376000e-05
0.113094     1.02769000e-04
0.113132     4.56936000e-06
0.113170     1.03181000e-04
0.113207     1.00047000e-04
0.113245     1.03913000e-04
0.113283     3.04642000e-05
0.113320     1.03117000e-04
0.113358     1.02549000e-04
0.113396     1.00257000e-04
0.113434     6.99193000e-05
0.113472     9.70350000e-05
0.113509     1.38390000e-06
0.113547     4.95732000e-05
0.113585     7.61389000e-05
0.113623     9.35376000e-05
0.113661     9.84253000e-05
0.113699     2.66663000e-05
0.113737     8.68212000e-05
0.113775     6.95532000e-05
0.113813     2.71313000e-06
0.113850     1.03799000e-04
0.113888     9.54899000e-08
0.113926     1.03578000e-04
0.113964     1.02924000e-04
0.114002     3.41290000e-06
0.114040     5.68097000e-07
0.114078     1.04940000e-04
0.114116     9.61035000e-05
0.114154     3.04273000e-05
0.114192     1.42637000e-05
0.114231     8.01888000e-05
0.114269     1.03418000e-04
0.114307     1.03245000e-04
0.114345     1.03172000e-04
0.114383     1.03380000e-04
0.114421     1.16766000e-05
0.114459     1.00333000e-04
0.114497     1.05066000e-04
0.114536     9.52935000e-05
0.114574     6.55873000e-08
0.114612     1.50412000e-05
0.114650     1.04631000e-04
0.114688     1.04443000e-04
0.114727     8.59055000e-05
0.114765     3.42879000e-05
0.114803     1.04573000e-04
0.114841     1.13252000e-05
0.114880     5.61970000e-05
0.114918     1.00527000e-04
0.114956     1.03873000e-04
0.114994     9.31824000e-05
0.115033     1.02880000e-04
0.115071     1.14675000e-06
0.115110     1.05350000e-04
0.115148     1.03505000e-04
0.115186     9.58225000e-05
0.115225     9.60240000e-05
0.115263     6.04891000e-05
0.115301     1.05034000e-04
0.115340     1.04966000e-04
0.115378     1.03859000e-04
0.115417     9.24644000e-05
0.115455     1.05223000e-04
0.115494     1.05346000e-04
0.115532     1.03809000e-04
0.115571     1.03384000e-04
0.115609     8.34631000e-05
0.115648     1.04581000e-04
0.115686     1.04764000e-04
0.115725     1.04171000e-04
0.115764     3.78834000e-05
0.115802     1.04119000e-04
0.115841     1.04070000e-04
0.115879     1.04370000e-04
0.115918     6.73410000e-06
0.115957     1.04239000e-04
0.115995     1.03591000e-04
0.116034     9.79706000e-05
0.116073     1.03544000e-04
0.116111     1.03541000e-04
0.116150     1.02901000e-04
0.116189     9.61874000e-07
0.116227     1.01839000e-04
0.116266     7.96582000e-06
0.116305     4.27128000e-06
0.116344     8.84370000e-05
0.116383     5.95031000e-08
0.116421     9.00211000e-05
0.116460     9.75727000e-05
0.116499     9.99323000e-05
0.116538     9.96460000e-05
0.116577     9.47760000e-05
0.116615     1.01182000e-04
0.116654     5.28879000e-06
0.116693     8.93082000e-05
0.116732     9.97457000e-05
0.116771     1.00188000e-04
0.116810     9.96325000e-05
0.116849     9.83026000e-05
0.116888     9.81265000e-05
0.116927     9.66816000e-05
0.116966     2.33471000e-05
0.117005     9.38061000e-05
0.117044     9.18738000e-05
0.117083     8.86750000e-05
0.117122     8.37949000e-05
0.117161     2.83399000e-05
0.117200     5.95761000e-05
0.117239     1.93514000e-05
0.117278     2.44107000e-05
0.117317     6.12589000e-05
0.117356     7.63047000e-05
0.117395     8.38023000e-05
0.117434     7.81973000e-05
0.117474     9.04660000e-05
0.117513     9.23841000e-05
0.117552     9.31307000e-05
0.117591     9.19368000e-05
0.117630     9.23865000e-05
0.117670     1.92029000e-05
0.117709     8.60332000e-05
0.117748     6.39668000e-05
0.117787     6.12962000e-05
0.117827     6.96617000e-07
0.117866     5.44782000e-05
0.117905     7.53530000e-05
