# wavelength(um)    fp/fs
0.100007     4.43570000e-05
0.100040     4.31636000e-05
0.100074     4.43588000e-05
0.100107     4.44045000e-05
0.100140     4.43441000e-05
0.100174     4.42596000e-05
0.100207     3.99833000e-05
0.100241     4.42325000e-05
0.100274     4.41691000e-05
0.100307     4.38652000e-05
0.100341     4.37909000e-05
0.100374     4.42565000e-05
0.100408     4.44109000e-05
0.100441     4.43928000e-05
0.100475     4.42705000e-05
0.100508     4.40929000e-05
0.100542     4.42754000e-05
0.100575     4.39334000e-05
0.100609     4.38161000e-05
0.100642     3.79526000e-05
0.100676     4.39101000e-05
0.100709     4.32008000e-05
0.100743     4.40986000e-05
0.100777     4.42371000e-05
0.100810     4.36946000e-05
0.100844     1.79963000e-07
0.100877     4.37554000e-05
0.100911     4.43135000e-05
0.100945     4.43050000e-05
0.100978     4.43034000e-05
0.101012     4.43021000e-05
0.101046     4.28754000e-05
0.101079     4.42449000e-05
0.101113     4.43329000e-05
0.101147     4.43391000e-05
0.101180     4.43280000e-05
0.101214     4.42886000e-05
0.101248     4.30790000e-05
0.101282     4.41836000e-05
0.101315     4.41939000e-05
0.101349     4.38933000e-05
0.101383     3.84168000e-05
0.101417     4.37218000e-05
0.101451     4.40455000e-05
0.101484     4.37497000e-05
0.101518     4.41847000e-05
0.101552     4.41979000e-05
0.101586     4.41927000e-05
0.101620     4.41786000e-05
0.101654     4.41437000e-05
0.101688     4.33247000e-05
0.101721     4.40601000e-05
0.101755     4.38735000e-05
0.101789     4.17197000e-05
0.101823     3.21804000e-07
0.101857     4.36838000e-05
0.101891     4.37841000e-05
0.101925     4.37591000e-05
0.101959     3.93500000e-05
0.101993     4.32160000e-05
0.102027     4.35151000e-05
0.102061     4.33395000e-05
0.102095     4.31946000e-05
0.102129     4.29088000e-05
0.102163     4.24835000e-05
0.102197     4.17669000e-05
0.102231     4.03641000e-05
0.102265     3.66968000e-05
0.102299     8.21251000e-06
0.102333     3.48422000e-05
0.102368     3.97587000e-05
0.102402     4.10248000e-05
0.102436     4.09941000e-05
0.102470     4.27778000e-05
0.102504     4.29016000e-05
0.102538     4.32828000e-05
0.102573     4.10898000e-05
0.102607     4.30868000e-05
0.102641     4.34161000e-05
0.102675     4.29912000e-05
0.102709     4.30320000e-05
0.102744     3.54519000e-05
0.102778     4.32124000e-05
0.102812     4.36589000e-05
0.102846     4.34625000e-05
0.102881     4.24914000e-05
0.102915     4.38510000e-05
0.102949     4.38835000e-05
0.102984     4.38608000e-05
0.103018     3.54365000e-05
0.103052     4.38511000e-05
0.103087     3.75417000e-05
0.103121     4.35842000e-05
0.103155     4.33800000e-05
0.103190     4.26458000e-06
0.103224     4.36382000e-05
0.103258     4.34839000e-05
0.103293     4.30076000e-05
0.103327     4.27495000e-05
0.103362     4.36260000e-05
0.103396     3.60321000e-07
0.103431     1.76779000e-06
