# pressure(bar)    temperature(K)
 1.00000000e+02    2070.540
 8.96151000e+01    2070.540
 7.19686000e+01    2070.540
 5.77969000e+01    2070.540
 4.64159000e+01    2070.540
 3.72759000e+01    2070.540
 2.99358000e+01    2070.540
 2.40410000e+01    2070.540
 1.93070000e+01    2070.540
 1.55052000e+01    2070.540
 1.24520000e+01    2070.540
 1.00000000e+01    2070.540
 8.03086000e+00    2070.540
 6.44947000e+00    2070.530
 5.17947000e+00    2070.500
 4.15956000e+00    2070.340
 3.34048000e+00    2069.800
 2.68270000e+00    2068.220
 2.15443000e+00    2064.460
 1.73020000e+00    2056.700
 1.38950000e+00    2042.900
 1.11588000e+00    2021.760
 8.96151000e-01    1993.830
 7.19686000e-01    1960.260
 5.77969000e-01    1920.720
 4.64159000e-01    1875.740
 3.72759000e-01    1825.720
 2.99358000e-01    1771.550
 2.40410000e-01    1714.970
 1.93070000e-01    1658.710
 1.55052000e-01    1604.070
 1.24520000e-01    1552.680
 1.00000000e-01    1505.590
 8.03086000e-02    1461.880
 6.44947000e-02    1421.240
 5.17947000e-02    1384.220
 4.15956000e-02    1350.110
 3.34048000e-02    1318.270
 2.68270000e-02    1290.450
 2.15443000e-02    1267.680
 1.73020000e-02    1247.630
 1.38950000e-02    1230.600
 1.11588000e-02    1217.040
 8.96151000e-03    1205.730
 7.19686000e-03    1195.040
 5.77969000e-03    1185.890
 4.64159000e-03    1178.600
 3.72759000e-03    1171.350
 2.99358000e-03    1164.980
 2.40410000e-03    1159.670
 1.93070000e-03    1154.590
 1.55052000e-03    1149.260
 1.24520000e-03    1144.160
 1.00000000e-03    1139.090
 8.03086000e-04    1133.580
 6.44947000e-04    1127.980
 5.17947000e-04    1122.390
 4.15956000e-04    1116.720
 3.34048000e-04    1111.010
 2.68270000e-04    1105.450
 2.15443000e-04    1100.100
 1.73020000e-04    1094.890
 1.38950000e-04    1089.910
 1.11588000e-04    1085.130
 8.96151000e-05    1080.510
 7.19686000e-05    1076.030
 5.77969000e-05    1071.670
 4.64159000e-05    1067.390
 3.72759000e-05    1063.070
 2.99358000e-05    1058.630
 2.40410000e-05    1053.910
 1.93070000e-05    1048.790
 1.55052000e-05    1043.190
 1.24520000e-05    1037.070
 1.00000000e-05    1030.470
 8.03086000e-06    1023.460
 6.44947000e-06    1016.160
 5.17947000e-06    1008.730
 4.15956000e-06    1001.330
 3.34048000e-06     994.125
 2.68270000e-06     987.323
 2.15443000e-06     981.029
 1.73020000e-06     975.267
 1.38950000e-06     970.028
 1.11588000e-06     965.292
 8.96151000e-07     961.053
 7.19686000e-07     957.398
 5.77969000e-07     954.246
 4.64159000e-07     953.371
 3.72759000e-07     956.500
 2.99358000e-07     964.357
 2.40410000e-07     977.409
 1.93070000e-07     995.989
 1.55052000e-07    1020.350
 1.24520000e-07    1050.670
 1.00000000e-07    1087.100
 8.03086000e-08    1129.760
 6.44947000e-08    1178.740
 5.17947000e-08    1234.120
 4.15956000e-08    1295.940
 3.34048000e-08    1364.260
 2.68270000e-08    1439.090
 2.15443000e-08    1520.440
 1.73020000e-08    1608.300
 1.38950000e-08    1702.570
 1.11588000e-08    1802.780
 8.96151000e-09    1907.930
 7.19686000e-09    2016.730
 5.77969000e-09    2121.410
 4.64159000e-09    2221.540
 3.72759000e-09    2316.950
 2.99358000e-09    2407.550
 2.40410000e-09    2493.240
 1.93070000e-09    2573.990
 1.55052000e-09    2649.910
 1.24520000e-09    2721.290
 1.00000000e-09    2788.940
