# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.63669      0.00347     1.62288    0.00451    niriss
    1.63411      0.00366     1.63192    0.00453    niriss
    1.63045      0.00376     1.64102    0.00456    niriss
    1.63253      0.00356     1.65016    0.00458    niriss
    1.63275      0.00379     1.65935    0.00461    niriss
    1.65162      0.00368     1.66860    0.00463    niriss
    1.63846      0.00374     1.67789    0.00466    niriss
    1.64298      0.00396     1.68724    0.00469    niriss
    1.63753      0.00379     1.69664    0.00471    niriss
    1.63575      0.00387     1.70609    0.00474    niriss
    1.64498      0.00414     1.71559    0.00477    niriss
    1.63387      0.00396     1.72515    0.00479    niriss
    1.64568      0.00404     1.73476    0.00482    niriss
    1.64919      0.00408     1.74443    0.00485    niriss
    1.63960      0.00410     1.75415    0.00487    niriss
    1.64864      0.00418     1.76392    0.00490    niriss
    1.64608      0.00405     1.77375    0.00493    niriss
    1.65938      0.00428     1.78363    0.00495    niriss
    1.65965      0.00433     1.79356    0.00498    niriss
    1.66823      0.00440     1.80356    0.00501    niriss
    1.66924      0.00426     1.81360    0.00504    niriss
    1.66950      0.00450     1.82371    0.00507    niriss
    1.67100      0.00436     1.83387    0.00509    niriss
    1.67500      0.00469     1.84408    0.00512    niriss
    1.67380      0.00448     1.85436    0.00515    niriss
    1.68810      0.00453     1.86469    0.00518    niriss
    1.68122      0.00490     1.87508    0.00521    niriss
    1.67572      0.00468     1.88552    0.00524    niriss
    1.66936      0.00476     1.89603    0.00527    niriss
    1.65623      0.00477     1.90659    0.00530    niriss
    1.66576      0.00484     1.91721    0.00533    niriss
    1.67812      0.00492     1.92789    0.00536    niriss
    1.67152      0.00498     1.93863    0.00539    niriss
    1.67905      0.00514     1.94943    0.00542    niriss
    1.68660      0.00508     1.96029    0.00545    niriss
    1.66860      0.00494     1.97121    0.00548    niriss
    1.67162      0.00531     1.98219    0.00551    niriss
    1.67511      0.00531     1.99324    0.00554    niriss
    1.66792      0.00511     2.00434    0.00557    niriss
    1.67485      0.00516     2.01551    0.00560    niriss
    1.66307      0.00550     2.02674    0.00563    niriss
    1.65551      0.00532     2.03803    0.00566    niriss
    1.65583      0.00537     2.04938    0.00569    niriss
    1.65773      0.00575     2.06080    0.00572    niriss
    1.63054      0.00554     2.07228    0.00576    niriss
    1.63306      0.00559     2.08382    0.00579    niriss
    1.63439      0.00567     2.09543    0.00582    niriss
    1.63168      0.00573     2.10711    0.00585    niriss
    1.63940      0.00583     2.11885    0.00589    niriss
    1.63070      0.00565     2.13065    0.00592    niriss
    1.62865      0.00594     2.14252    0.00595    niriss
    1.63612      0.00601     2.15446    0.00598    niriss
    1.64608      0.00590     2.16646    0.00602    niriss
    1.65066      0.00622     2.17853    0.00605    niriss
    1.65227      0.00603     2.19066    0.00609    niriss
    1.65990      0.00638     2.20287    0.00612    niriss
    1.67003      0.00617     2.21514    0.00615    niriss
    1.66158      0.00626     2.22748    0.00619    niriss
    1.67649      0.00635     2.23989    0.00622    niriss
    1.66833      0.00670     2.25237    0.00626    niriss
    1.68193      0.00653     2.26492    0.00629    niriss
    1.67291      0.00664     2.27754    0.00633    niriss
    1.68269      0.00677     2.29022    0.00636    niriss
    1.67934      0.00666     2.30298    0.00640    niriss
    1.69626      0.00697     2.31581    0.00643    niriss
    1.67993      0.00722     2.32871    0.00647    niriss
    1.67795      0.00695     2.34169    0.00650    niriss
    1.69091      0.00745     2.35473    0.00654    niriss
    1.68104      0.00716     2.36785    0.00658    niriss
    1.70236      0.00769     2.38104    0.00661    niriss
    1.68271      0.00740     2.39431    0.00665    niriss
    1.68329      0.00750     2.40765    0.00669    niriss
    1.68686      0.00771     2.42106    0.00673    niriss
