# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.59428      0.00860     0.83321    0.00231    niriss
    1.58998      0.00802     0.83786    0.00233    niriss
    1.58870      0.00778     0.84252    0.00234    niriss
    1.58833      0.00754     0.84722    0.00235    niriss
    1.57535      0.00752     0.85194    0.00237    niriss
    1.59086      0.00728     0.85668    0.00238    niriss
    1.59220      0.00796     0.86146    0.00239    niriss
    1.59103      0.00712     0.86626    0.00241    niriss
    1.59036      0.00698     0.87108    0.00242    niriss
    1.60948      0.00679     0.87593    0.00243    niriss
    1.59209      0.00678     0.88081    0.00245    niriss
    1.62027      0.00600     0.88572    0.00246    niriss
    1.60700      0.00642     0.89066    0.00247    niriss
    1.60725      0.00637     0.89562    0.00249    niriss
    1.59661      0.00636     0.90061    0.00250    niriss
    1.60257      0.00619     0.90562    0.00252    niriss
    1.58964      0.00616     0.91067    0.00253    niriss
    1.59768      0.00555     0.91574    0.00254    niriss
    1.57886      0.00607     0.92084    0.00256    niriss
    1.57409      0.00602     0.92597    0.00257    niriss
    1.58310      0.00540     0.93113    0.00259    niriss
    1.58954      0.00585     0.93632    0.00260    niriss
    1.57356      0.00584     0.94154    0.00262    niriss
    1.57100      0.00525     0.94678    0.00263    niriss
    1.56664      0.00567     0.95206    0.00264    niriss
    1.57906      0.00515     0.95736    0.00266    niriss
    1.57820      0.00562     0.96269    0.00267    niriss
    1.57362      0.00507     0.96806    0.00269    niriss
    1.58728      0.00553     0.97345    0.00270    niriss
    1.58868      0.00498     0.97887    0.00272    niriss
    1.58391      0.00491     0.98433    0.00273    niriss
    1.59937      0.00533     0.98981    0.00275    niriss
    1.58866      0.00484     0.99533    0.00276    niriss
    1.59814      0.00480     1.00087    0.00278    niriss
    1.60437      0.00523     1.00645    0.00280    niriss
    1.59646      0.00474     1.01205    0.00281    niriss
    1.59065      0.00472     1.01769    0.00283    niriss
    1.59905      0.00468     1.02336    0.00284    niriss
    1.58122      0.00465     1.02906    0.00286    niriss
    1.57972      0.00465     1.03479    0.00287    niriss
    1.57881      0.00460     1.04056    0.00289    niriss
    1.56770      0.00456     1.04636    0.00291    niriss
    1.56187      0.00453     1.05219    0.00292    niriss
    1.56701      0.00454     1.05805    0.00294    niriss
    1.56584      0.00451     1.06394    0.00296    niriss
    1.55264      0.00451     1.06987    0.00297    niriss
    1.54540      0.00450     1.07583    0.00299    niriss
    1.55828      0.00452     1.08182    0.00301    niriss
    1.56896      0.00413     1.08785    0.00302    niriss
    1.57356      0.00445     1.09391    0.00304    niriss
    1.58479      0.00446     1.10000    0.00306    niriss
    1.60510      0.00440     1.10613    0.00307    niriss
    1.63357      0.00406     1.11230    0.00309    niriss
    1.64406      0.00436     1.11849    0.00311    niriss
    1.64714      0.00404     1.12472    0.00312    niriss
    1.64609      0.00434     1.13099    0.00314    niriss
    1.64497      0.00403     1.13729    0.00316    niriss
    1.65731      0.00433     1.14363    0.00318    niriss
    1.66047      0.00397     1.15000    0.00319    niriss
    1.66010      0.00427     1.15640    0.00321    niriss
    1.65848      0.00400     1.16285    0.00323    niriss
    1.66300      0.00396     1.16932    0.00325    niriss
    1.65859      0.00396     1.17584    0.00327    niriss
    1.65185      0.00433     1.18239    0.00328    niriss
    1.64954      0.00397     1.18898    0.00330    niriss
    1.64554      0.00400     1.19560    0.00332    niriss
    1.62471      0.00400     1.20226    0.00334    niriss
    1.61802      0.00401     1.20896    0.00336    niriss
    1.61869      0.00394     1.21569    0.00338    niriss
    1.60819      0.00396     1.22247    0.00340    niriss
    1.60205      0.00396     1.22928    0.00341    niriss
    1.59266      0.00398     1.23612    0.00343    niriss
    1.58909      0.00399     1.24301    0.00345    niriss
    1.58184      0.00400     1.24994    0.00347    niriss
    1.56833      0.00401     1.25690    0.00349    niriss
    1.56281      0.00376     1.26390    0.00351    niriss
    1.57109      0.00402     1.27094    0.00353    niriss
    1.57297      0.00404     1.27802    0.00355    niriss
    1.57780      0.00381     1.28514    0.00357    niriss
    1.58472      0.00409     1.29230    0.00359    niriss
    1.61561      0.00410     1.29950    0.00361    niriss
    1.61751      0.00385     1.30674    0.00363    niriss
    1.63703      0.00421     1.31402    0.00365    niriss
    1.63906      0.00389     1.32134    0.00367    niriss
    1.66179      0.00420     1.32870    0.00369    niriss
    1.67641      0.00394     1.33611    0.00371    niriss
    1.66678      0.00395     1.34355    0.00373    niriss
    1.67431      0.00397     1.35103    0.00375    niriss
    1.68949      0.00428     1.35856    0.00377    niriss
    1.68149      0.00403     1.36613    0.00379    niriss
    1.69037      0.00406     1.37374    0.00382    niriss
    1.68102      0.00407     1.38139    0.00384    niriss
    1.69095      0.00410     1.38909    0.00386    niriss
    1.69125      0.00414     1.39683    0.00388    niriss
    1.67906      0.00417     1.40461    0.00390    niriss
    1.68217      0.00423     1.41243    0.00392    niriss
    1.67697      0.00425     1.42030    0.00395    niriss
    1.67064      0.00435     1.42822    0.00397    niriss
    1.66505      0.00407     1.43617    0.00399    niriss
    1.66786      0.00438     1.44417    0.00401    niriss
    1.65514      0.00442     1.45222    0.00403    niriss
    1.64545      0.00418     1.46031    0.00406    niriss
    1.64929      0.00449     1.46844    0.00408    niriss
    1.64636      0.00450     1.47663    0.00410    niriss
    1.63982      0.00433     1.48485    0.00412    niriss
    1.63178      0.00458     1.49312    0.00415    niriss
    1.63183      0.00451     1.50144    0.00417    niriss
    1.63003      0.00439     1.50981    0.00419    niriss
    1.63111      0.00467     1.51822    0.00422    niriss
    1.60453      0.00442     1.52668    0.00424    niriss
    1.62252      0.00445     1.53518    0.00426    niriss
    1.61565      0.00445     1.54373    0.00429    niriss
    1.59976      0.00451     1.55233    0.00431    niriss
    1.60911      0.00457     1.56098    0.00434    niriss
    1.60650      0.00464     1.56968    0.00436    niriss
    1.61043      0.00478     1.57842    0.00438    niriss
    1.62079      0.00477     1.58722    0.00441    niriss
    1.64911      0.00475     1.59606    0.00443    niriss
    1.66557      0.00477     1.60495    0.00446    niriss
    1.67328      0.00487     1.61389    0.00448    niriss
    1.68527      0.00463     1.62288    0.00451    niriss
    1.68800      0.00488     1.63192    0.00453    niriss
    1.69510      0.00501     1.64102    0.00456    niriss
    1.69030      0.00475     1.65016    0.00458    niriss
    1.67203      0.00505     1.65935    0.00461    niriss
    1.69639      0.00491     1.66860    0.00463    niriss
    1.69336      0.00499     1.67789    0.00466    niriss
    1.67941      0.00528     1.68724    0.00469    niriss
    1.69645      0.00505     1.69664    0.00471    niriss
    1.70854      0.00516     1.70609    0.00474    niriss
    1.69190      0.00551     1.71559    0.00477    niriss
    1.68397      0.00528     1.72515    0.00479    niriss
    1.69344      0.00539     1.73476    0.00482    niriss
    1.69481      0.00544     1.74443    0.00485    niriss
    1.68790      0.00546     1.75415    0.00487    niriss
    1.67929      0.00558     1.76392    0.00490    niriss
    1.68422      0.00540     1.77375    0.00493    niriss
    1.68869      0.00571     1.78363    0.00495    niriss
    1.68533      0.00577     1.79356    0.00498    niriss
    1.69950      0.00586     1.80356    0.00501    niriss
    1.67065      0.00568     1.81360    0.00504    niriss
    1.68357      0.00600     1.82371    0.00507    niriss
    1.67367      0.00582     1.83387    0.00509    niriss
    1.67494      0.00625     1.84408    0.00512    niriss
    1.66967      0.00597     1.85436    0.00515    niriss
    1.67553      0.00604     1.86469    0.00518    niriss
