# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.13249   1.861472166e-07
     0.13267   1.996265842e-07
     0.13284   2.414554366e-07
     0.13302   2.298978710e-07
     0.13320   2.533512134e-07
     0.13338   2.678559851e-07
     0.13355   2.448219049e-07
     0.13373   3.224501833e-07
     0.13391   2.406547458e-07
     0.13409   3.630272364e-07
     0.13427   2.887753367e-07
     0.13445   3.545813074e-07
     0.13463   3.330260685e-07
     0.13481   3.686473964e-07
     0.13499   3.748932983e-07
     0.13517   4.397174956e-07
     0.13535   4.774136225e-07
     0.13553   5.563847754e-07
     0.13571   4.490639566e-07
     0.13589   5.314639150e-07
     0.13607   5.648938759e-07
     0.13625   5.298303387e-07
     0.13643   5.747487592e-07
     0.13662   5.955326603e-07
     0.13680   5.473207311e-07
     0.13698   6.533579691e-07
     0.13716   4.887515355e-07
     0.13735   5.750227583e-07
     0.13753   6.181449551e-07
     0.13771   7.337611397e-07
     0.13790   8.242028386e-07
     0.13808   8.207587648e-07
     0.13826   9.576736175e-07
     0.13845   1.009294362e-06
     0.13863   1.111722505e-06
     0.13882   1.329326175e-06
     0.13900   1.301458735e-06
     0.13919   1.376572635e-06
     0.13938   1.544767667e-06
     0.13956   1.526141236e-06
     0.13975   1.737191048e-06
     0.13993   2.133858441e-06
     0.14012   1.874705443e-06
     0.14031   2.242694629e-06
     0.14049   2.264037291e-06
     0.14068   2.491979441e-06
     0.14087   2.280253454e-06
     0.14106   2.489523825e-06
     0.14125   3.026132542e-06
     0.14143   3.037627809e-06
     0.14162   2.888219503e-06
     0.14181   3.298957753e-06
     0.14200   3.639165018e-06
     0.14219   4.007774284e-06
     0.14238   3.959300724e-06
     0.14257   4.017736899e-06
     0.14276   4.308177066e-06
     0.14295   4.657653371e-06
     0.14314   4.914305860e-06
     0.14333   4.615164456e-06
     0.14352   4.937114520e-06
     0.14372   4.916283596e-06
     0.14391   5.306941136e-06
     0.14410   5.410560447e-06
     0.14429   6.205826728e-06
     0.14448   6.201310497e-06
     0.14468   6.417430807e-06
     0.14487   6.636057445e-06
     0.14506   7.479763326e-06
     0.14526   6.732213819e-06
     0.14545   7.780021211e-06
     0.14564   8.676577184e-06
     0.14584   8.557076395e-06
     0.14603   9.243557742e-06
     0.14623   9.201002980e-06
     0.14642   9.786265434e-06
     0.14662   9.777733877e-06
     0.14681   9.036978113e-06
     0.14701   9.791673938e-06
     0.14721   1.101873608e-05
     0.14740   1.103927575e-05
     0.14760   1.254850690e-05
     0.14780   1.138723930e-05
     0.14799   1.431198555e-05
     0.14819   1.338469668e-05
     0.14839   1.459241376e-05
     0.14859   1.552441600e-05
     0.14879   1.633966761e-05
     0.14898   1.655562412e-05
     0.14918   1.738723502e-05
     0.14938   1.809471194e-05
     0.14958   1.837134246e-05
     0.14978   1.924837636e-05
     0.14998   1.952663889e-05
     0.15018   1.897148949e-05
     0.15038   2.221748202e-05
     0.15058   2.373842357e-05
     0.15078   2.480514200e-05
     0.15098   2.601027333e-05
     0.15118   2.652029066e-05
     0.15139   2.681186117e-05
     0.15159   2.711392991e-05
     0.15179   2.546420362e-05
     0.15199   2.663763207e-05
     0.15220   9.282817387e-05
     0.15240   1.094274745e-04
     0.15260   1.060894324e-04
     0.15281   9.869635025e-05
     0.15301   1.130604388e-04
     0.15321   8.217732560e-05
     0.15342   8.808117206e-05
     0.15362   9.752669554e-05
     0.15383   1.135130185e-04
     0.15403   8.856962835e-05
     0.15424   1.291992151e-04
     0.15444   8.971097303e-05
     0.15465   1.032289819e-04
     0.15486   7.371502846e-05
     0.15506   8.185347247e-05
     0.15527   8.802609232e-05
     0.15548   9.057428344e-05
     0.15569   1.230065299e-04
     0.15589   1.769212914e-04
     0.15610   1.436957235e-04
     0.15631   1.657227299e-04
     0.15652   2.154901508e-04
     0.15673   2.392435611e-04
     0.15694   3.483978077e-04
     0.15715   3.328698537e-04
     0.15735   3.412275251e-04
     0.15756   3.414595659e-04
     0.15778   4.242509730e-04
     0.15799   3.268060484e-04
     0.15820   2.647910651e-04
     0.15841   3.437375908e-04
     0.15862   3.163384335e-04
     0.15883   2.899746928e-04
     0.15904   3.309653137e-04
     0.15925   3.409150207e-04
     0.15947   3.341546670e-04
     0.15968   4.113644992e-04
     0.15989   3.737552431e-04
     0.16011   2.643506555e-04
     0.16032   3.297850251e-04
     0.16053   3.476891565e-04
     0.16075   3.605840060e-04
     0.16096   3.701412542e-04
     0.16118   2.726295569e-04
     0.16139   3.407670986e-04
     0.16161   3.140350024e-04
     0.16182   3.777548945e-04
     0.16204   2.508057880e-04
     0.16226   4.232328205e-04
     0.16247   4.072726835e-04
     0.16269   5.633028561e-04
     0.16291   4.377532826e-04
     0.16312   7.667354554e-04
     0.16334   1.024129261e-03
     0.16356   5.766196349e-04
     0.16378   2.861713228e-04
     0.16400   9.846072976e-04
     0.16421   8.170592754e-04
     0.16443   1.316712274e-03
     0.16465   1.184253110e-03
     0.16487   1.290463329e-03
     0.16509   9.732589927e-04
     0.16531   1.010695102e-03
     0.16553   1.430271133e-03
     0.16575   1.288863935e-03
     0.16597   1.272395927e-03
     0.16620   1.707886781e-03
     0.16642   1.901206103e-03
     0.16664   1.657180339e-03
     0.16686   5.234145760e-04
     0.16709   7.720736980e-04
