# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.10000   1.222565685e-07
     0.10013   1.075829316e-07
     0.10027   1.192972071e-07
     0.10040   1.088115219e-07
     0.10053   1.335820508e-07
     0.10067   1.346954079e-07
     0.10080   1.223494317e-07
     0.10094   8.938242495e-08
     0.10107   1.617143003e-07
     0.10121   1.610914470e-07
     0.10134   1.488183743e-07
     0.10148   1.176796458e-07
     0.10161   2.041533455e-07
     0.10175   1.497096275e-07
     0.10188   2.109783640e-07
     0.10202   2.050809289e-07
     0.10216   1.890727384e-07
     0.10229   2.138161073e-07
     0.10243   1.577833939e-07
     0.10257   1.992497219e-08
     0.10270   1.513259097e-07
     0.10284   1.707650733e-07
     0.10298   2.291550867e-07
     0.10311   2.136006805e-07
     0.10325   3.579263891e-07
     0.10339   3.017094479e-07
     0.10353   2.951012293e-07
     0.10367   2.913687184e-07
     0.10380   4.471191497e-07
     0.10394   4.449292692e-07
     0.10408   3.470602084e-07
     0.10422   5.037190280e-07
     0.10436   5.265740234e-07
     0.10450   5.226139792e-07
     0.10464   5.632779616e-07
     0.10478   5.229335600e-07
     0.10492   6.118042692e-07
     0.10506   5.359953211e-07
     0.10520   5.338167058e-07
     0.10534   6.469716928e-07
     0.10548   7.504186285e-07
     0.10562   5.868787915e-07
     0.10576   6.794554856e-07
     0.10590   7.617595307e-07
     0.10604   9.764495071e-07
     0.10618   8.365386948e-07
     0.10633   8.213443893e-07
     0.10647   7.116171217e-07
     0.10661   9.832481262e-07
     0.10675   9.608803187e-07
     0.10689   9.803096975e-07
     0.10704   1.161696032e-06
     0.10718   1.204163467e-06
     0.10732   1.137973349e-06
     0.10747   9.555781689e-07
     0.10761   1.722592233e-06
     0.10775   1.193423018e-06
     0.10790   1.092322721e-06
     0.10804   1.235102372e-06
     0.10818   1.403480536e-06
     0.10833   1.789095603e-06
     0.10847   1.879086519e-06
     0.10862   1.845605191e-06
     0.10876   1.953897210e-06
     0.10891   1.806957675e-06
     0.10905   2.335406542e-06
     0.10920   1.755648178e-06
     0.10934   2.308099674e-06
     0.10949   2.295380253e-06
     0.10964   1.892288077e-06
     0.10978   2.213548739e-06
     0.10993   2.239378387e-06
     0.11008   2.118200028e-06
     0.11022   6.320456007e-06
     0.11037   9.311754159e-06
     0.11052   8.142676471e-06
     0.11066   9.153728238e-06
     0.11081   7.960444333e-06
     0.11096   8.356585663e-06
     0.11111   8.313148859e-06
     0.11126   9.352191918e-06
     0.11140   1.192495842e-05
     0.11155   8.475098304e-06
     0.11170   1.144857796e-05
     0.11185   1.352610813e-05
     0.11200   1.263718709e-05
     0.11215   1.067846835e-05
     0.11230   1.261889512e-05
     0.11245   1.335367794e-05
     0.11260   1.963069036e-05
     0.11275   1.502718715e-05
     0.11290   9.459651378e-06
     0.11305   1.992648060e-05
     0.11320   2.232906557e-05
     0.11335   1.911841378e-05
     0.11350   1.277912172e-05
     0.11366   2.295872142e-05
     0.11381   2.476484203e-05
     0.11396   9.900814985e-06
     0.11411   2.672784347e-05
     0.11426   3.069713073e-05
     0.11442   2.527377903e-05
     0.11457   2.248739516e-05
     0.11472   2.827657664e-05
     0.11487   2.357008154e-05
     0.11503   2.962943829e-05
     0.11518   2.695844128e-05
     0.11533   3.723469158e-05
     0.11549   3.900474931e-05
     0.11564   3.251885972e-05
     0.11580   3.013328294e-05
     0.11595   2.631727148e-05
     0.11611   4.040198785e-05
     0.11626   3.635399474e-05
     0.11642   3.982290386e-05
     0.11657   3.889328213e-05
     0.11673   3.760290743e-05
     0.11688   3.836162422e-05
     0.11704   5.215820629e-05
     0.11719   5.744699497e-05
     0.11735   5.526056918e-05
     0.11751   4.247998049e-05
     0.11766   5.363869311e-05
     0.11782   5.717398383e-05
     0.11798   4.921824035e-05
     0.11814   5.813639358e-05
     0.11829   6.502335460e-05
     0.11845   6.166322222e-05
     0.11861   5.929906844e-05
     0.11877   6.387060862e-05
     0.11893   7.293352954e-05
     0.11908   7.207734026e-05
     0.11924   6.356490618e-05
     0.11940   4.761557788e-05
     0.11956   7.234664364e-05
     0.11972   8.761103685e-05
     0.11988   8.681879142e-05
     0.12004   6.483724584e-05
     0.12020   7.920634786e-05
     0.12036   9.763089173e-05
     0.12052   8.551412455e-05
     0.12068   6.708255802e-05
     0.12084   5.635696532e-05
     0.12101   3.063768906e-05
     0.12117   1.749190706e-05
     0.12133   6.986428597e-06
     0.12149   4.883959119e-06
     0.12165   5.630220929e-06
     0.12182   7.416280974e-06
     0.12198   1.787347814e-05
     0.12214   4.616577479e-05
     0.12230   7.645714846e-05
     0.12247   9.912417573e-05
     0.12263   1.466840036e-04
     0.12279   1.443076187e-04
     0.12296   1.549464222e-04
     0.12312   2.432099178e-04
     0.12329   2.819584699e-04
     0.12345   3.043277149e-04
     0.12361   2.978661293e-04
     0.12378   3.263272650e-04
     0.12394   4.348020566e-04
     0.12411   4.023619147e-04
     0.12428   3.923725475e-04
     0.12444   5.148303837e-04
     0.12461   5.036268559e-04
     0.12477   5.299788720e-04
     0.12494   4.877778888e-04
     0.12511   6.097234041e-04
     0.12527   6.747879254e-04
     0.12544   6.646121673e-04
     0.12561   5.621348769e-04
     0.12578   5.422851421e-04
     0.12594   6.945717536e-04
     0.12611   4.903888803e-04
     0.12628   7.346053024e-04
     0.12645   6.989344438e-04
     0.12662   7.031806584e-04
     0.12679   8.624205114e-04
     0.12696   7.871098883e-04
     0.12712   8.003714761e-04
     0.12729   9.639045105e-04
     0.12746   9.460311541e-04
     0.12763   7.977273279e-04
     0.12780   7.208617662e-04
     0.12798   7.888633054e-04
     0.12815   1.147371131e-03
     0.12832   1.198975078e-03
     0.12849   1.291343843e-03
     0.12866   1.199971829e-03
     0.12883   1.213600100e-03
     0.12900   1.504771991e-03
     0.12918   1.470629189e-03
     0.12935   1.212804443e-03
     0.12952   1.619241559e-03
     0.12969   1.498921108e-03
     0.12987   1.527778256e-03
     0.13004   1.647422046e-03
     0.13021   1.631084055e-03
     0.13039   1.782233475e-03
     0.13056   1.626172955e-03
     0.13073   1.967684292e-03
     0.13091   2.089245162e-03
     0.13108   1.873100879e-03
     0.13126   2.055951417e-03
     0.13143   1.934029498e-03
     0.13161   1.858017054e-03
     0.13178   2.376830439e-03
     0.13196   2.544317866e-03
     0.13214   2.941860651e-03
     0.13231   2.565548155e-03
     0.13249   2.637103249e-03
     0.13267   2.591897555e-03
     0.13284   2.790115630e-03
     0.13302   2.346512626e-03
     0.13320   2.860488301e-03
     0.13338   2.807802338e-03
     0.13355   2.474856002e-03
     0.13373   3.114486616e-03
     0.13391   2.526765159e-03
     0.13409   3.740382971e-03
     0.13427   3.179157352e-03
     0.13445   3.742448317e-03
     0.13463   3.652609621e-03
     0.13481   4.043024286e-03
     0.13499   3.980700199e-03
     0.13517   4.476405556e-03
     0.13535   4.379510982e-03
     0.13553   5.031450946e-03
     0.13571   3.988467778e-03
     0.13589   4.829365666e-03
     0.13607   5.191428640e-03
     0.13625   4.812435092e-03
     0.13643   5.046778365e-03
     0.13662   5.836578254e-03
     0.13680   5.403849036e-03
     0.13698   6.234508188e-03
     0.13716   4.745530451e-03
     0.13735   5.582604174e-03
     0.13753   5.977066372e-03
     0.13771   6.493903955e-03
     0.13790   6.768844845e-03
     0.13808   6.628106979e-03
     0.13826   7.029666621e-03
     0.13845   7.441647622e-03
     0.13863   7.497251439e-03
     0.13882   8.484095274e-03
     0.13900   8.275921719e-03
     0.13919   7.964206641e-03
     0.13938   8.640909241e-03
     0.13956   8.259051567e-03
     0.13975   8.806379264e-03
     0.13993   9.967368167e-03
     0.14012   8.294398656e-03
     0.14031   9.461235868e-03
     0.14049   1.004557947e-02
     0.14068   1.107800472e-02
     0.14087   9.673957615e-03
     0.14106   1.082283675e-02
     0.14125   1.190594001e-02
     0.14143   1.104292981e-02
     0.14162   1.125293393e-02
     0.14181   1.260225169e-02
     0.14200   1.299299374e-02
     0.14219   1.423625120e-02
     0.14238   1.381396705e-02
     0.14257   1.308002681e-02
     0.14276   1.491225326e-02
     0.14295   1.545709703e-02
     0.14314   1.615220899e-02
     0.14333   1.478831527e-02
     0.14352   1.567922953e-02
     0.14372   1.617430384e-02
     0.14391   1.663955834e-02
     0.14410   1.836928004e-02
     0.14429   1.878450738e-02
     0.14448   1.849158021e-02
     0.14468   1.922605986e-02
     0.14487   1.984352996e-02
     0.14506   1.988852307e-02
     0.14526   2.052166723e-02
     0.14545   2.230120418e-02
     0.14564   2.302799020e-02
     0.14584   2.307446579e-02
     0.14603   2.389706485e-02
     0.14623   2.463901368e-02
     0.14642   2.484027737e-02
     0.14662   2.438484076e-02
     0.14681   2.287943449e-02
     0.14701   2.685183471e-02
     0.14721   2.656469033e-02
     0.14740   2.465384496e-02
     0.14760   2.913103176e-02
     0.14780   2.939288449e-02
     0.14799   3.124679787e-02
     0.14819   3.114913243e-02
     0.14839   3.179166215e-02
     0.14859   3.349715575e-02
     0.14879   3.382682727e-02
     0.14898   3.474682716e-02
     0.14918   3.606642607e-02
     0.14938   3.582854043e-02
     0.14958   3.679851050e-02
     0.14978   3.712233556e-02
     0.14998   3.798320692e-02
     0.15018   3.960866303e-02
     0.15038   4.110573241e-02
     0.15058   4.252039549e-02
     0.15078   4.423394040e-02
     0.15098   4.535260639e-02
     0.15118   4.631773200e-02
     0.15139   4.752250699e-02
     0.15159   4.719667523e-02
     0.15179   4.411660511e-02
     0.15199   4.557070698e-02
     0.15220   4.792055351e-02
     0.15240   7.756304488e-02
     0.15260   1.274659632e-01
     0.15281   3.167235046e-01
     0.15301   4.620084655e-01
     0.15321   3.249008163e-01
     0.15342   4.369371953e-01
     0.15362   4.973214746e-01
     0.15383   6.278809287e-01
     0.15403   4.706628112e-01
     0.15424   6.868014690e-01
     0.15444   4.824975715e-01
     0.15465   6.250931010e-01
     0.15486   4.902298143e-01
     0.15506   6.858909990e-01
     0.15527   6.656127093e-01
     0.15548   5.385139327e-01
     0.15569   7.548251479e-01
     0.15589   6.726545500e-01
     0.15610   3.747318811e-01
     0.15631   7.217662770e-01
     0.15652   7.772485366e-01
     0.15673   7.544847400e-01
     0.15694   9.694494346e-01
     0.15715   9.558911145e-01
     0.15735   8.427046861e-01
     0.15756   1.086753624e+00
     0.15778   1.201315273e+00
     0.15799   1.201214447e+00
     0.15820   1.588279791e+00
     0.15841   1.340042140e+00
     0.15862   1.385460770e+00
     0.15883   1.530872292e+00
     0.15904   1.770926801e+00
     0.15925   1.775050927e+00
     0.15947   1.992440019e+00
     0.15968   2.198800204e+00
     0.15989   2.361170751e+00
     0.16011   2.076402353e+00
     0.16032   2.240100352e+00
     0.16053   2.303408924e+00
     0.16075   2.058730729e+00
     0.16096   2.375178220e+00
     0.16118   2.330384496e+00
     0.16139   2.410823172e+00
     0.16161   2.103401877e+00
     0.16182   2.397748812e+00
     0.16204   2.084367446e+00
     0.16226   2.003281322e+00
     0.16247   2.551913451e+00
     0.16269   2.428868618e+00
     0.16291   2.255353392e+00
     0.16312   2.899055754e+00
     0.16334   2.806318478e+00
     0.16356   3.517500590e+00
     0.16378   3.621395932e+00
     0.16400   4.096256008e+00
     0.16421   4.074895753e+00
     0.16443   4.317894904e+00
     0.16465   4.258051778e+00
     0.16487   4.139705239e+00
     0.16509   3.891487650e+00
     0.16531   3.820091858e+00
     0.16553   3.583491556e+00
     0.16575   2.029501088e+00
     0.16597   4.958655056e+00
     0.16620   5.632913413e+00
     0.16642   5.375559735e+00
     0.16664   5.040466292e+00
     0.16686   5.390477621e+00
     0.16709   3.988415811e+00
     0.16731   5.755286775e+00
     0.16753   4.489382312e+00
     0.16775   6.032169273e+00
     0.16798   4.544352105e+00
     0.16820   9.076398001e+00
     0.16843   1.091440943e+01
     0.16865   9.037323146e+00
     0.16888   1.386869142e+01
     0.16910   1.801503313e+01
