# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.10000   1.489884575e-05
     0.10013   1.563685669e-05
     0.10027   1.531899523e-05
     0.10040   1.655237657e-05
     0.10053   1.741289890e-05
     0.10067   1.787345599e-05
     0.10080   1.864606842e-05
     0.10094   1.858347154e-05
     0.10107   2.076988602e-05
     0.10121   2.151787065e-05
     0.10134   2.213415609e-05
     0.10148   2.299803631e-05
     0.10161   2.425401708e-05
     0.10175   2.464893779e-05
     0.10188   2.591820549e-05
     0.10202   2.366478863e-05
     0.10216   2.645333909e-05
     0.10229   2.859516650e-05
     0.10243   2.567370871e-05
     0.10257   1.397430622e-05
     0.10270   2.646723901e-05
     0.10284   2.965013004e-05
     0.10298   3.465018945e-05
     0.10311   3.048439173e-05
     0.10325   3.533674484e-05
     0.10339   3.724133199e-05
     0.10353   3.922359692e-05
     0.10367   4.118096307e-05
     0.10380   4.202070278e-05
     0.10394   4.676103483e-05
     0.10408   4.591606036e-05
     0.10422   4.824663994e-05
     0.10436   5.250645153e-05
     0.10450   5.224795690e-05
     0.10464   5.616975260e-05
     0.10478   5.691221848e-05
     0.10492   6.112619932e-05
     0.10506   5.928676947e-05
     0.10520   6.520712998e-05
     0.10534   6.884262029e-05
     0.10548   7.130893167e-05
     0.10562   7.009057450e-05
     0.10576   7.334846197e-05
     0.10590   8.050595512e-05
     0.10604   8.393109765e-05
     0.10618   8.019925676e-05
     0.10633   8.167334913e-05
     0.10647   8.312357787e-05
     0.10661   9.199373820e-05
     0.10675   9.442735625e-05
     0.10689   9.648794933e-05
     0.10704   1.092721985e-04
     0.10718   1.129118729e-04
     0.10732   1.147932269e-04
     0.10747   1.090728874e-04
     0.10761   1.272938766e-04
     0.10775   1.313503118e-04
     0.10790   1.349586803e-04
     0.10804   1.402086901e-04
     0.10818   1.467535198e-04
     0.10833   1.523825209e-04
     0.10847   1.534508564e-04
     0.10862   1.631532131e-04
     0.10876   1.693936001e-04
     0.10891   1.712326672e-04
     0.10905   1.824322435e-04
     0.10920   1.868295500e-04
     0.10934   1.979617600e-04
     0.10949   2.040410789e-04
     0.10964   1.873228100e-04
     0.10978   2.133755928e-04
     0.10993   2.172586772e-04
     0.11008   2.324324475e-04
     0.11022   7.907890058e-04
     0.11037   1.206296664e-03
     0.11052   1.819397405e-03
     0.11066   1.828900802e-03
     0.11081   1.762374506e-03
     0.11096   1.908708365e-03
     0.11111   1.754103835e-03
     0.11126   2.176003944e-03
     0.11140   2.254737926e-03
     0.11155   2.728699753e-03
     0.11170   2.519842558e-03
     0.11185   2.853650720e-03
     0.11200   3.379657611e-03
     0.11215   2.871137523e-03
     0.11230   2.175280421e-03
     0.11245   3.628016991e-03
     0.11260   4.032491143e-03
     0.11275   3.289695862e-03
     0.11290   2.012553389e-03
     0.11305   4.059661903e-03
     0.11320   4.155328194e-03
     0.11335   4.110163000e-03
     0.11350   3.346032752e-03
     0.11366   4.817247382e-03
     0.11381   4.721561088e-03
     0.11396   2.705499023e-03
     0.11411   4.738126075e-03
     0.11426   5.346719488e-03
     0.11442   5.403529941e-03
     0.11457   5.408540158e-03
     0.11472   5.866032065e-03
     0.11487   5.642951031e-03
     0.11503   5.605939043e-03
     0.11518   6.084908468e-03
     0.11533   6.438468377e-03
     0.11549   6.291570257e-03
     0.11564   5.517913864e-03
     0.11580   4.291116747e-03
     0.11595   6.177652038e-03
     0.11611   7.155748336e-03
     0.11626   7.604662668e-03
     0.11642   7.766520588e-03
     0.11657   7.932098706e-03
     0.11673   8.588401457e-03
     0.11688   8.399787706e-03
     0.11704   9.245835951e-03
     0.11719   1.006626429e-02
     0.11735   1.012463176e-02
     0.11751   9.249702168e-03
     0.11766   9.953736947e-03
     0.11782   1.074807564e-02
     0.11798   1.044199960e-02
     0.11814   1.086786171e-02
     0.11829   1.238919071e-02
     0.11845   1.206976977e-02
     0.11861   1.207207314e-02
     0.11877   1.270427079e-02
     0.11893   1.196384311e-02
     0.11908   1.177274598e-02
     0.11924   1.150939584e-02
     0.11940   6.268142332e-03
     0.11956   1.408031811e-02
     0.11972   1.726545589e-02
     0.11988   2.058691540e-02
     0.12004   1.353176043e-02
     0.12020   2.191545305e-02
     0.12036   2.766219469e-02
     0.12052   2.422389395e-02
     0.12068   2.072027942e-02
     0.12084   1.710383638e-02
     0.12101   1.095643349e-02
     0.12117   6.945802911e-03
     0.12133   3.233989641e-03
     0.12149   1.449373499e-03
     0.12165   1.356027634e-03
     0.12182   3.410549488e-03
     0.12198   7.527427685e-03
     0.12214   1.464658040e-02
     0.12230   2.143557445e-02
     0.12247   2.883932964e-02
     0.12263   3.953949838e-02
     0.12279   4.153754872e-02
     0.12296   5.028444969e-02
     0.12312   6.518547562e-02
     0.12329   6.910835707e-02
     0.12345   7.366781613e-02
     0.12361   8.009569711e-02
     0.12378   8.948263240e-02
     0.12394   1.032420166e-01
     0.12411   1.395662183e-01
     0.12428   1.193470507e-01
     0.12444   1.782261731e-01
     0.12461   1.943541549e-01
     0.12477   1.939071894e-01
     0.12494   2.092165180e-01
     0.12511   2.152850008e-01
     0.12527   2.527390914e-01
     0.12544   2.556713644e-01
     0.12561   2.431843037e-01
     0.12578   2.626571896e-01
     0.12594   2.742012844e-01
     0.12611   8.702138591e-02
     0.12628   2.869749863e-01
     0.12645   2.087627953e-01
     0.12662   2.704592783e-01
     0.12679   3.441099430e-01
     0.12696   3.456710088e-01
     0.12712   3.565239987e-01
     0.12729   3.684737097e-01
     0.12746   3.558533899e-01
     0.12763   3.083928754e-01
     0.12780   2.016344138e-01
     0.12798   2.253886549e-01
     0.12815   3.907394940e-01
     0.12832   4.909186328e-01
     0.12849   5.174772615e-01
     0.12866   4.989318288e-01
     0.12883   3.837515612e-01
     0.12900   5.250534578e-01
     0.12918   5.766176326e-01
     0.12935   5.398239291e-01
     0.12952   5.914013201e-01
     0.12969   5.827484403e-01
     0.12987   6.203372397e-01
     0.13004   6.538446436e-01
     0.13021   4.843315334e-01
     0.13039   5.537088944e-01
     0.13056   4.099996520e-01
     0.13073   7.584498031e-01
     0.13091   6.695062044e-01
     0.13108   6.749421179e-01
     0.13126   7.695646397e-01
     0.13143   7.774999241e-01
     0.13161   6.925170835e-01
     0.13178   8.619910930e-01
     0.13196   9.138647519e-01
     0.13214   1.093716856e+00
     0.13231   9.732997982e-01
     0.13249   1.014057783e+00
     0.13267   9.904315851e-01
     0.13284   8.600188662e-01
     0.13302   6.925563334e-01
     0.13320   1.087558149e+00
     0.13338   1.086698235e+00
     0.13355   9.295873841e-01
     0.13373   1.181157469e+00
     0.13391   1.033222669e+00
     0.13409   1.352836990e+00
     0.13427   1.189433054e+00
     0.13445   1.365533315e+00
     0.13463   1.526002111e+00
     0.13481   1.667705848e+00
     0.13499   1.669512289e+00
     0.13517   1.847518812e+00
     0.13535   1.746964127e+00
     0.13553   1.848721205e+00
     0.13571   1.666153108e+00
     0.13589   1.749047587e+00
     0.13607   1.952222550e+00
     0.13625   1.949037019e+00
     0.13643   1.944618077e+00
     0.13662   2.183757977e+00
     0.13680   2.026074292e+00
     0.13698   2.208358590e+00
     0.13716   1.813929267e+00
     0.13735   2.146343378e+00
     0.13753   2.359738639e+00
     0.13771   2.487635003e+00
     0.13790   2.511481878e+00
     0.13808   2.363941890e+00
     0.13826   2.541637378e+00
     0.13845   2.721714405e+00
     0.13863   2.700442664e+00
     0.13882   2.955802348e+00
     0.13900   2.976807020e+00
     0.13919   2.796200961e+00
     0.13938   3.051742665e+00
     0.13956   3.001692100e+00
     0.13975   3.161387390e+00
     0.13993   3.378924012e+00
     0.14012   2.833877051e+00
     0.14031   3.275717767e+00
     0.14049   3.422285921e+00
     0.14068   3.736675065e+00
     0.14087   3.377354281e+00
     0.14106   3.550492624e+00
     0.14125   3.821135604e+00
     0.14143   3.379714934e+00
     0.14162   3.750034252e+00
     0.14181   4.246746740e+00
     0.14200   4.290162263e+00
     0.14219   4.577495868e+00
     0.14238   4.355273308e+00
     0.14257   3.439899094e+00
     0.14276   4.745326435e+00
     0.14295   4.793419723e+00
     0.14314   4.675091824e+00
     0.14333   4.132858205e+00
     0.14352   4.690415088e+00
     0.14372   5.083183778e+00
     0.14391   5.130656702e+00
     0.14410   5.610408186e+00
     0.14429   5.809327660e+00
     0.14448   5.453109964e+00
     0.14468   5.908860286e+00
     0.14487   5.653062866e+00
     0.14506   6.072067545e+00
     0.14526   6.113538268e+00
     0.14545   6.662785000e+00
     0.14564   6.827217039e+00
     0.14584   6.811516003e+00
     0.14603   7.049111746e+00
     0.14623   7.346228894e+00
     0.14642   6.702635135e+00
     0.14662   7.304595960e+00
     0.14681   6.157836943e+00
     0.14701   7.621314150e+00
     0.14721   7.615618774e+00
     0.14740   6.059720213e+00
     0.14760   8.121693545e+00
     0.14780   8.393093918e+00
     0.14799   9.013180239e+00
     0.14819   8.176732507e+00
     0.14839   8.528840716e+00
     0.14859   9.302793396e+00
     0.14879   9.135057471e+00
     0.14898   9.884350043e+00
     0.14918   1.009250941e+01
     0.14938   9.347809403e+00
     0.14958   1.008658215e+01
     0.14978   1.046826977e+01
     0.14998   1.083418130e+01
     0.15018   1.108743211e+01
     0.15038   1.136687407e+01
     0.15058   1.169142856e+01
     0.15078   1.186016151e+01
     0.15098   1.231796197e+01
     0.15118   1.191419721e+01
     0.15139   1.262238779e+01
     0.15159   1.269413924e+01
     0.15179   1.231346663e+01
     0.15199   1.257384478e+01
     0.15220   1.250201621e+01
     0.15240   1.558369943e+01
     0.15260   1.723407464e+01
     0.15281   2.934380703e+01
     0.15301   4.207006068e+01
     0.15321   3.124695012e+01
     0.15342   3.593362612e+01
     0.15362   4.703128480e+01
     0.15383   5.544578435e+01
     0.15403   4.244967269e+01
     0.15424   5.826587200e+01
     0.15444   4.561130153e+01
     0.15465   5.718931754e+01
     0.15486   4.507523233e+01
     0.15506   6.098394519e+01
     0.15527   5.582371512e+01
     0.15548   4.842285490e+01
     0.15569   6.617925012e+01
     0.15589   4.451757615e+01
     0.15610   1.461704104e+01
     0.15631   5.725556166e+01
     0.15652   6.614619009e+01
     0.15673   5.726264131e+01
     0.15694   6.716237576e+01
     0.15715   7.693570743e+01
     0.15735   6.421449831e+01
     0.15756   7.888429180e+01
     0.15778   8.768855849e+01
     0.15799   8.273056632e+01
     0.15820   1.052078987e+02
     0.15841   8.912430616e+01
     0.15862   8.707610721e+01
     0.15883   9.598671531e+01
     0.15904   1.083054098e+02
     0.15925   1.080489873e+02
     0.15947   1.113432744e+02
     0.15968   1.239546968e+02
     0.15989   1.255191799e+02
     0.16011   1.143954695e+02
     0.16032   1.159680816e+02
     0.16053   1.250996958e+02
     0.16075   1.065574306e+02
     0.16096   1.252839624e+02
     0.16118   1.159399939e+02
     0.16139   1.242938249e+02
     0.16161   1.197687423e+02
     0.16182   1.240860805e+02
     0.16204   1.173627675e+02
     0.16226   1.138958031e+02
     0.16247   1.288845940e+02
     0.16269   1.390223528e+02
     0.16291   1.153095580e+02
     0.16312   1.437238237e+02
     0.16334   1.271231408e+02
     0.16356   1.504664558e+02
     0.16378   1.661939874e+02
     0.16400   1.749268994e+02
     0.16421   1.842043684e+02
     0.16443   1.918003200e+02
     0.16465   1.920856364e+02
     0.16487   1.642924319e+02
     0.16509   1.716734249e+02
     0.16531   1.564761484e+02
     0.16553   9.922155794e+01
     0.16575   3.385203489e+01
     0.16597   1.859342798e+02
     0.16620   2.244383668e+02
     0.16642   2.245498802e+02
     0.16664   2.124899953e+02
