# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.59743      0.00645     0.83321    0.00231    niriss
    1.59272      0.00601     0.83786    0.00233    niriss
    1.59988      0.00584     0.84252    0.00234    niriss
    1.59532      0.00566     0.84722    0.00235    niriss
    1.58791      0.00564     0.85194    0.00237    niriss
    1.59716      0.00546     0.85668    0.00238    niriss
    1.58524      0.00597     0.86146    0.00239    niriss
    1.59242      0.00534     0.86626    0.00241    niriss
    1.58540      0.00524     0.87108    0.00242    niriss
    1.59869      0.00509     0.87593    0.00243    niriss
    1.60601      0.00508     0.88081    0.00245    niriss
    1.61376      0.00450     0.88572    0.00246    niriss
    1.62182      0.00482     0.89066    0.00247    niriss
    1.62084      0.00477     0.89562    0.00249    niriss
    1.61369      0.00477     0.90061    0.00250    niriss
    1.59800      0.00464     0.90562    0.00252    niriss
    1.59850      0.00462     0.91067    0.00253    niriss
    1.58681      0.00416     0.91574    0.00254    niriss
    1.59018      0.00455     0.92084    0.00256    niriss
    1.59496      0.00451     0.92597    0.00257    niriss
    1.59853      0.00405     0.93113    0.00259    niriss
    1.59447      0.00439     0.93632    0.00260    niriss
    1.57753      0.00438     0.94154    0.00262    niriss
    1.58615      0.00394     0.94678    0.00263    niriss
    1.59788      0.00425     0.95206    0.00264    niriss
    1.58421      0.00386     0.95736    0.00266    niriss
    1.59189      0.00421     0.96269    0.00267    niriss
    1.59413      0.00380     0.96806    0.00269    niriss
    1.59054      0.00415     0.97345    0.00270    niriss
    1.59930      0.00373     0.97887    0.00272    niriss
    1.59601      0.00368     0.98433    0.00273    niriss
    1.59587      0.00400     0.98981    0.00275    niriss
    1.60333      0.00363     0.99533    0.00276    niriss
    1.60174      0.00360     1.00087    0.00278    niriss
    1.59970      0.00392     1.00645    0.00280    niriss
    1.60506      0.00355     1.01205    0.00281    niriss
    1.60441      0.00354     1.01769    0.00283    niriss
    1.59046      0.00351     1.02336    0.00284    niriss
    1.58455      0.00349     1.02906    0.00286    niriss
    1.58274      0.00349     1.03479    0.00287    niriss
    1.57810      0.00345     1.04056    0.00289    niriss
    1.57278      0.00342     1.04636    0.00291    niriss
    1.56851      0.00340     1.05219    0.00292    niriss
    1.56446      0.00341     1.05805    0.00294    niriss
    1.56082      0.00338     1.06394    0.00296    niriss
    1.55842      0.00338     1.06987    0.00297    niriss
    1.55692      0.00337     1.07583    0.00299    niriss
    1.56006      0.00339     1.08182    0.00301    niriss
    1.57438      0.00310     1.08785    0.00302    niriss
    1.58131      0.00334     1.09391    0.00304    niriss
    1.58925      0.00335     1.10000    0.00306    niriss
    1.60926      0.00330     1.10613    0.00307    niriss
    1.63208      0.00304     1.11230    0.00309    niriss
    1.65118      0.00327     1.11849    0.00311    niriss
    1.64906      0.00303     1.12472    0.00312    niriss
    1.65066      0.00326     1.13099    0.00314    niriss
    1.66274      0.00302     1.13729    0.00316    niriss
    1.66253      0.00325     1.14363    0.00318    niriss
