# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.68407      0.00786     6.01924    0.03762    miri
    1.70056      0.00569     6.09496    0.03809    miri
    1.69024      0.00814     6.17162    0.03857    miri
    1.68508      0.00581     6.24925    0.03906    miri
    1.69546      0.00589     6.32786    0.03955    miri
    1.69915      0.00846     6.40746    0.04005    miri
    1.68425      0.00612     6.48805    0.04055    miri
    1.70162      0.00629     6.56966    0.04106    miri
    1.70453      0.00632     6.65230    0.04158    miri
    1.68480      0.00652     6.73598    0.04210    miri
    1.69459      0.00670     6.82071    0.04263    miri
    1.71122      0.00676     6.90650    0.04317    miri
    1.70020      0.00574     6.99338    0.04371    miri
    1.71310      0.00719     7.08134    0.04426    miri
    1.72251      0.00720     7.17042    0.04482    miri
    1.74597      0.00604     7.26061    0.04538    miri
    1.74068      0.00768     7.35194    0.04595    miri
    1.74628      0.00644     7.44442    0.04653    miri
    1.74052      0.00661     7.53806    0.04711    miri
    1.72919      0.00687     7.63287    0.04771    miri
    1.72244      0.00860     7.72889    0.04831    miri
    1.70762      0.00723     7.82610    0.04891    miri
    1.70597      0.00746     7.92455    0.04953    miri
    1.69128      0.00666     8.02423    0.05015    miri
    1.71137      0.00793     8.12516    0.05078    miri
    1.69903      0.00812     8.22736    0.05142    miri
    1.70212      0.00717     8.33085    0.05207    miri
    1.68096      0.00850     8.43564    0.05272    miri
    1.70291      0.00752     8.54175    0.05339    miri
    1.69409      0.00770     8.64919    0.05406    miri
    1.69122      0.00799     8.75799    0.05474    miri
    1.69247      0.00828     8.86815    0.05543    miri
    1.68172      0.00860     8.97970    0.05612    miri
    1.69444      0.00897     9.09265    0.05683    miri
    1.68801      0.00835     9.20703    0.05754    miri
    1.66957      0.00973     9.32284    0.05827    miri
    1.66961      0.00913     9.44011    0.05900    miri
    1.67172      0.00928     9.55885    0.05974    miri
    1.66132      0.00978     9.67909    0.06049    miri
    1.65946      0.00952     9.80084    0.06126    miri
    1.65032      0.01076     9.92412    0.06203    miri
    1.63821      0.01059    10.04895    0.06281    miri
    1.64505      0.01148    10.17535    0.06360    miri
    1.67352      0.01226    10.30334    0.06440    miri
    1.64796      0.01368    10.43294    0.06521    miri
    1.67743      0.01505    10.56418    0.06603    miri
    1.68121      0.01558    10.69706    0.06686    miri
    1.65452      0.01739    10.83161    0.06770    miri
    1.66139      0.01936    10.96786    0.06855    miri
    1.65149      0.02202    11.10582    0.06941    miri
    1.66276      0.02290    11.24552    0.07028    miri
    1.67230      0.02526    11.38697    0.07117    miri
    1.70878      0.02829    11.53020    0.07206    miri
    1.59492      0.03117    11.67524    0.07297    miri
    1.68959      0.03646    11.82209    0.07389    miri
